group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_memoization,BTree,6,,,17417021.0,ns,35
hash_vs_btree_memoization,BTree,6,,,32613428.0,ns,70
hash_vs_btree_memoization,BTree,6,,,48033314.0,ns,105
hash_vs_btree_memoization,BTree,6,,,64882017.0,ns,140
hash_vs_btree_memoization,BTree,6,,,80362103.0,ns,175
hash_vs_btree_memoization,BTree,6,,,97185963.0,ns,210
hash_vs_btree_memoization,BTree,6,,,113086243.0,ns,245
hash_vs_btree_memoization,BTree,6,,,138566748.0,ns,280
hash_vs_btree_memoization,BTree,6,,,142714230.0,ns,315
hash_vs_btree_memoization,BTree,6,,,166327221.0,ns,350
