group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,Complement (Degeneratee),8,,,17934976.0,ns,4
hash_vs_btree_vs_vec_coff,Complement (Degeneratee),8,,,36064155.0,ns,8
hash_vs_btree_vs_vec_coff,Complement (Degeneratee),8,,,54000628.0,ns,12
hash_vs_btree_vs_vec_coff,Complement (Degeneratee),8,,,62682904.0,ns,16
hash_vs_btree_vs_vec_coff,Complement (Degeneratee),8,,,76264853.0,ns,20
hash_vs_btree_vs_vec_coff,Complement (Degeneratee),8,,,97302326.0,ns,24
hash_vs_btree_vs_vec_coff,Complement (Degeneratee),8,,,112726972.0,ns,28
hash_vs_btree_vs_vec_coff,Complement (Degeneratee),8,,,121687935.0,ns,32
hash_vs_btree_vs_vec_coff,Complement (Degeneratee),8,,,135529476.0,ns,36
hash_vs_btree_vs_vec_coff,Complement (Degeneratee),8,,,151548207.0,ns,40
