group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,Naive,12,,,1154306285.0,ns,1
hash_vs_btree_vs_vec_coff,Naive,12,,,2078478135.0,ns,2
hash_vs_btree_vs_vec_coff,Naive,12,,,3097385325.0,ns,3
hash_vs_btree_vs_vec_coff,Naive,12,,,4089811759.0,ns,4
hash_vs_btree_vs_vec_coff,Naive,12,,,5033474618.0,ns,5
hash_vs_btree_vs_vec_coff,Naive,12,,,6046280775.0,ns,6
hash_vs_btree_vs_vec_coff,Naive,12,,,7190450364.0,ns,7
hash_vs_btree_vs_vec_coff,Naive,12,,,8084121466.0,ns,8
hash_vs_btree_vs_vec_coff,Naive,12,,,9085282235.0,ns,9
hash_vs_btree_vs_vec_coff,Naive,12,,,10102514895.0,ns,10
