group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,Support BTree,8,,,18851721.0,ns,2
hash_vs_btree_vs_vec_coff,Support BTree,8,,,35628311.0,ns,4
hash_vs_btree_vs_vec_coff,Support BTree,8,,,50610382.0,ns,6
hash_vs_btree_vs_vec_coff,Support BTree,8,,,73340178.0,ns,8
hash_vs_btree_vs_vec_coff,Support BTree,8,,,81524868.0,ns,10
hash_vs_btree_vs_vec_coff,Support BTree,8,,,95571549.0,ns,12
hash_vs_btree_vs_vec_coff,Support BTree,8,,,110233131.0,ns,14
hash_vs_btree_vs_vec_coff,Support BTree,8,,,125676897.0,ns,16
hash_vs_btree_vs_vec_coff,Support BTree,8,,,153156943.0,ns,18
hash_vs_btree_vs_vec_coff,Support BTree,8,,,168731736.0,ns,20
