group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,Support Hash,2,,,17197416.0,ns,1763
hash_vs_btree_vs_vec_coff,Support Hash,2,,,35635643.0,ns,3526
hash_vs_btree_vs_vec_coff,Support Hash,2,,,51538875.0,ns,5289
hash_vs_btree_vs_vec_coff,Support Hash,2,,,68816962.0,ns,7052
hash_vs_btree_vs_vec_coff,Support Hash,2,,,87836296.0,ns,8815
hash_vs_btree_vs_vec_coff,Support Hash,2,,,105618865.0,ns,10578
hash_vs_btree_vs_vec_coff,Support Hash,2,,,129175748.0,ns,12341
hash_vs_btree_vs_vec_coff,Support Hash,2,,,178360726.0,ns,14104
hash_vs_btree_vs_vec_coff,Support Hash,2,,,181303066.0,ns,15867
hash_vs_btree_vs_vec_coff,Support Hash,2,,,197501372.0,ns,17630
