group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,Support Vec,12,,,197937084.0,ns,1
hash_vs_btree_vs_vec_coff,Support Vec,12,,,397501876.0,ns,2
hash_vs_btree_vs_vec_coff,Support Vec,12,,,738811773.0,ns,3
hash_vs_btree_vs_vec_coff,Support Vec,12,,,975798482.0,ns,4
hash_vs_btree_vs_vec_coff,Support Vec,12,,,1167098127.0,ns,5
hash_vs_btree_vs_vec_coff,Support Vec,12,,,1389630684.0,ns,6
hash_vs_btree_vs_vec_coff,Support Vec,12,,,1488367142.0,ns,7
hash_vs_btree_vs_vec_coff,Support Vec,12,,,1771075104.0,ns,8
hash_vs_btree_vs_vec_coff,Support Vec,12,,,2015645247.0,ns,9
hash_vs_btree_vs_vec_coff,Support Vec,12,,,2183869222.0,ns,10
