group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,Support Vec,8,,,19981233.0,ns,4
hash_vs_btree_vs_vec_coff,Support Vec,8,,,38504412.0,ns,8
hash_vs_btree_vs_vec_coff,Support Vec,8,,,56705735.0,ns,12
hash_vs_btree_vs_vec_coff,Support Vec,8,,,64553237.0,ns,16
hash_vs_btree_vs_vec_coff,Support Vec,8,,,79754195.0,ns,20
hash_vs_btree_vs_vec_coff,Support Vec,8,,,97183182.0,ns,24
hash_vs_btree_vs_vec_coff,Support Vec,8,,,112287668.0,ns,28
hash_vs_btree_vs_vec_coff,Support Vec,8,,,135479675.0,ns,32
hash_vs_btree_vs_vec_coff,Support Vec,8,,,145839139.0,ns,36
hash_vs_btree_vs_vec_coff,Support Vec,8,,,164870371.0,ns,40
