group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport,Naive,2,,,19400879.0,ns,4632
naive_vs_support_vs_simplifiedsupport,Naive,2,,,39835852.0,ns,9264
naive_vs_support_vs_simplifiedsupport,Naive,2,,,60438811.0,ns,13896
naive_vs_support_vs_simplifiedsupport,Naive,2,,,81688045.0,ns,18528
naive_vs_support_vs_simplifiedsupport,Naive,2,,,92645376.0,ns,23160
naive_vs_support_vs_simplifiedsupport,Naive,2,,,108824493.0,ns,27792
naive_vs_support_vs_simplifiedsupport,Naive,2,,,128785459.0,ns,32424
naive_vs_support_vs_simplifiedsupport,Naive,2,,,147127047.0,ns,37056
naive_vs_support_vs_simplifiedsupport,Naive,2,,,163457080.0,ns,41688
naive_vs_support_vs_simplifiedsupport,Naive,2,,,188218436.0,ns,46320
