group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport,Naive,8,,,20002134.0,ns,4
naive_vs_support_vs_simplifiedsupport,Naive,8,,,40440778.0,ns,8
naive_vs_support_vs_simplifiedsupport,Naive,8,,,59522753.0,ns,12
naive_vs_support_vs_simplifiedsupport,Naive,8,,,79565347.0,ns,16
naive_vs_support_vs_simplifiedsupport,Naive,8,,,98126485.0,ns,20
naive_vs_support_vs_simplifiedsupport,Naive,8,,,118020368.0,ns,24
naive_vs_support_vs_simplifiedsupport,Naive,8,,,141993556.0,ns,28
naive_vs_support_vs_simplifiedsupport,Naive,8,,,164040476.0,ns,32
naive_vs_support_vs_simplifiedsupport,Naive,8,,,177594736.0,ns,36
naive_vs_support_vs_simplifiedsupport,Naive,8,,,197969266.0,ns,40
