group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport,Support Simplified,8,,,18279510.0,ns,2
naive_vs_support_vs_simplifiedsupport,Support Simplified,8,,,37936906.0,ns,4
naive_vs_support_vs_simplifiedsupport,Support Simplified,8,,,54683995.0,ns,6
naive_vs_support_vs_simplifiedsupport,Support Simplified,8,,,73153774.0,ns,8
naive_vs_support_vs_simplifiedsupport,Support Simplified,8,,,90982831.0,ns,10
naive_vs_support_vs_simplifiedsupport,Support Simplified,8,,,109893720.0,ns,12
naive_vs_support_vs_simplifiedsupport,Support Simplified,8,,,146200041.0,ns,14
naive_vs_support_vs_simplifiedsupport,Support Simplified,8,,,182730138.0,ns,16
naive_vs_support_vs_simplifiedsupport,Support Simplified,8,,,194117924.0,ns,18
naive_vs_support_vs_simplifiedsupport,Support Simplified,8,,,198479624.0,ns,20
