group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport,Support,10,,,71883670.0,ns,1
naive_vs_support_vs_simplifiedsupport,Support,10,,,148510149.0,ns,2
naive_vs_support_vs_simplifiedsupport,Support,10,,,216184255.0,ns,3
naive_vs_support_vs_simplifiedsupport,Support,10,,,328600699.0,ns,4
naive_vs_support_vs_simplifiedsupport,Support,10,,,430600936.0,ns,5
naive_vs_support_vs_simplifiedsupport,Support,10,,,483696146.0,ns,6
naive_vs_support_vs_simplifiedsupport,Support,10,,,542515482.0,ns,7
naive_vs_support_vs_simplifiedsupport,Support,10,,,581756792.0,ns,8
naive_vs_support_vs_simplifiedsupport,Support,10,,,655911343.0,ns,9
naive_vs_support_vs_simplifiedsupport,Support,10,,,715212286.0,ns,10
