group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),8,,,21301260.0,ns,2
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),8,,,43176509.0,ns,4
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),8,,,56663930.0,ns,6
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),8,,,78575588.0,ns,8
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),8,,,93884696.0,ns,10
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),8,,,110662745.0,ns,12
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),8,,,124976043.0,ns,14
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),8,,,153799895.0,ns,16
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),8,,,167766690.0,ns,18
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),8,,,208542442.0,ns,20
