group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),6,,,16093673.0,ns,58
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),6,,,35639140.0,ns,116
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),6,,,51946013.0,ns,174
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),6,,,61795527.0,ns,232
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),6,,,77241487.0,ns,290
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),6,,,93971678.0,ns,348
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),6,,,108817813.0,ns,406
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),6,,,123522947.0,ns,464
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),6,,,137728383.0,ns,522
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),6,,,156509420.0,ns,580
