group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),4,,,17421291.0,ns,229
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),4,,,34381295.0,ns,458
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),4,,,50529348.0,ns,687
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),4,,,58986431.0,ns,916
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),4,,,72566996.0,ns,1145
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),4,,,90739475.0,ns,1374
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),4,,,104524723.0,ns,1603
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),4,,,126597191.0,ns,1832
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),4,,,135059942.0,ns,2061
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),4,,,149777916.0,ns,2290
