group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,16335060.0,ns,56
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,32960879.0,ns,112
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,54724823.0,ns,168
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,63339492.0,ns,224
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,76578825.0,ns,280
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,91884846.0,ns,336
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,105574061.0,ns,392
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,120129594.0,ns,448
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,133453068.0,ns,504
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,150130822.0,ns,560
