group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
support_vs_supportsimplified,Support (Ideal order),8,,,20443723.0,ns,8
support_vs_supportsimplified,Support (Ideal order),8,,,36560536.0,ns,16
support_vs_supportsimplified,Support (Ideal order),8,,,69096175.0,ns,24
support_vs_supportsimplified,Support (Ideal order),8,,,82463763.0,ns,32
support_vs_supportsimplified,Support (Ideal order),8,,,100277937.0,ns,40
support_vs_supportsimplified,Support (Ideal order),8,,,116213928.0,ns,48
support_vs_supportsimplified,Support (Ideal order),8,,,139384377.0,ns,56
support_vs_supportsimplified,Support (Ideal order),8,,,163103410.0,ns,64
support_vs_supportsimplified,Support (Ideal order),8,,,188841392.0,ns,72
support_vs_supportsimplified,Support (Ideal order),8,,,246513797.0,ns,80
