group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),10,,,47864285.0,ns,1
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),10,,,76005038.0,ns,2
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),10,,,110877115.0,ns,3
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),10,,,149496111.0,ns,4
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),10,,,175525494.0,ns,5
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),10,,,209192504.0,ns,6
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),10,,,262587819.0,ns,7
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),10,,,314611282.0,ns,8
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),10,,,381660885.0,ns,9
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),10,,,403168373.0,ns,10
