group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
all_degenerate,Support w/ Vec (Degenerate order),10,,,30352666.0,ns,1
all_degenerate,Support w/ Vec (Degenerate order),10,,,58702147.0,ns,2
all_degenerate,Support w/ Vec (Degenerate order),10,,,86167554.0,ns,3
all_degenerate,Support w/ Vec (Degenerate order),10,,,116151100.0,ns,4
all_degenerate,Support w/ Vec (Degenerate order),10,,,146843830.0,ns,5
all_degenerate,Support w/ Vec (Degenerate order),10,,,172540366.0,ns,6
all_degenerate,Support w/ Vec (Degenerate order),10,,,203791270.0,ns,7
all_degenerate,Support w/ Vec (Degenerate order),10,,,239591939.0,ns,8
all_degenerate,Support w/ Vec (Degenerate order),10,,,344209354.0,ns,9
all_degenerate,Support w/ Vec (Degenerate order),10,,,357597068.0,ns,10
