group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
all_ideal,Complement (Ideal order),10,,,67598853.0,ns,1
all_ideal,Complement (Ideal order),10,,,124024013.0,ns,2
all_ideal,Complement (Ideal order),10,,,182810253.0,ns,3
all_ideal,Complement (Ideal order),10,,,239282809.0,ns,4
all_ideal,Complement (Ideal order),10,,,300971166.0,ns,5
all_ideal,Complement (Ideal order),10,,,452448192.0,ns,6
all_ideal,Complement (Ideal order),10,,,470430729.0,ns,7
all_ideal,Complement (Ideal order),10,,,486440103.0,ns,8
all_ideal,Complement (Ideal order),10,,,560527289.0,ns,9
all_ideal,Complement (Ideal order),10,,,618439800.0,ns,10
