group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
comp_vs_support,Complement (Ideal order),6,,,16177898.0,ns,53
comp_vs_support,Complement (Ideal order),6,,,34909581.0,ns,106
comp_vs_support,Complement (Ideal order),6,,,46212180.0,ns,159
comp_vs_support,Complement (Ideal order),6,,,59473519.0,ns,212
comp_vs_support,Complement (Ideal order),6,,,68487150.0,ns,265
comp_vs_support,Complement (Ideal order),6,,,84896176.0,ns,318
comp_vs_support,Complement (Ideal order),6,,,94550275.0,ns,371
comp_vs_support,Complement (Ideal order),6,,,117199363.0,ns,424
comp_vs_support,Complement (Ideal order),6,,,122031903.0,ns,477
comp_vs_support,Complement (Ideal order),6,,,134511643.0,ns,530
