group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,Support w/ BTree (Degenerate order),6,,,17738548.0,ns,17
hash_vs_btree_vs_vec_coff,Support w/ BTree (Degenerate order),6,,,35957855.0,ns,34
hash_vs_btree_vs_vec_coff,Support w/ BTree (Degenerate order),6,,,54285253.0,ns,51
hash_vs_btree_vs_vec_coff,Support w/ BTree (Degenerate order),6,,,72787548.0,ns,68
hash_vs_btree_vs_vec_coff,Support w/ BTree (Degenerate order),6,,,86711501.0,ns,85
hash_vs_btree_vs_vec_coff,Support w/ BTree (Degenerate order),6,,,105394620.0,ns,102
hash_vs_btree_vs_vec_coff,Support w/ BTree (Degenerate order),6,,,116982650.0,ns,119
hash_vs_btree_vs_vec_coff,Support w/ BTree (Degenerate order),6,,,137807689.0,ns,136
hash_vs_btree_vs_vec_coff,Support w/ BTree (Degenerate order),6,,,154775653.0,ns,153
hash_vs_btree_vs_vec_coff,Support w/ BTree (Degenerate order),6,,,172546016.0,ns,170
