group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,Support w/ Hash (Degenerate order),12,,,478176757.0,ns,1
hash_vs_btree_vs_vec_coff,Support w/ Hash (Degenerate order),12,,,905834530.0,ns,2
hash_vs_btree_vs_vec_coff,Support w/ Hash (Degenerate order),12,,,1335600900.0,ns,3
hash_vs_btree_vs_vec_coff,Support w/ Hash (Degenerate order),12,,,1787512600.0,ns,4
hash_vs_btree_vs_vec_coff,Support w/ Hash (Degenerate order),12,,,2233723307.0,ns,5
hash_vs_btree_vs_vec_coff,Support w/ Hash (Degenerate order),12,,,2725062284.0,ns,6
hash_vs_btree_vs_vec_coff,Support w/ Hash (Degenerate order),12,,,3198969031.0,ns,7
hash_vs_btree_vs_vec_coff,Support w/ Hash (Degenerate order),12,,,3608389971.0,ns,8
hash_vs_btree_vs_vec_coff,Support w/ Hash (Degenerate order),12,,,4051583676.0,ns,9
hash_vs_btree_vs_vec_coff,Support w/ Hash (Degenerate order),12,,,4741466015.0,ns,10
