group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,17749962.0,ns,51
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,33467374.0,ns,102
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,51017730.0,ns,153
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,67586240.0,ns,204
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,85238710.0,ns,255
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,120345877.0,ns,306
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,126505015.0,ns,357
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,141079576.0,ns,408
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,146224889.0,ns,459
no_attr_vs_comp,Complement Attr (Degenerate order),6,,,157523074.0,ns,510
