group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,No Attr (Degenerate order),2,,,19535262.0,ns,4364
no_attr_vs_comp,No Attr (Degenerate order),2,,,37087540.0,ns,8728
no_attr_vs_comp,No Attr (Degenerate order),2,,,54746347.0,ns,13092
no_attr_vs_comp,No Attr (Degenerate order),2,,,81047864.0,ns,17456
no_attr_vs_comp,No Attr (Degenerate order),2,,,102876702.0,ns,21820
no_attr_vs_comp,No Attr (Degenerate order),2,,,113708553.0,ns,26184
no_attr_vs_comp,No Attr (Degenerate order),2,,,146383840.0,ns,30548
no_attr_vs_comp,No Attr (Degenerate order),2,,,160043741.0,ns,34912
no_attr_vs_comp,No Attr (Degenerate order),2,,,159747088.0,ns,39276
no_attr_vs_comp,No Attr (Degenerate order),2,,,201426103.0,ns,43640
