group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,No Attr (Degenerate order),8,,,21243693.0,ns,3
no_attr_vs_comp,No Attr (Degenerate order),8,,,40880281.0,ns,6
no_attr_vs_comp,No Attr (Degenerate order),8,,,61603980.0,ns,9
no_attr_vs_comp,No Attr (Degenerate order),8,,,81280161.0,ns,12
no_attr_vs_comp,No Attr (Degenerate order),8,,,102565064.0,ns,15
no_attr_vs_comp,No Attr (Degenerate order),8,,,123975271.0,ns,18
no_attr_vs_comp,No Attr (Degenerate order),8,,,136658243.0,ns,21
no_attr_vs_comp,No Attr (Degenerate order),8,,,176628846.0,ns,24
no_attr_vs_comp,No Attr (Degenerate order),8,,,189789471.0,ns,27
no_attr_vs_comp,No Attr (Degenerate order),8,,,220734250.0,ns,30
