group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,No Attr (Ideal order),2,,,17953105.0,ns,3942
no_attr_vs_comp,No Attr (Ideal order),2,,,34082317.0,ns,7884
no_attr_vs_comp,No Attr (Ideal order),2,,,46483735.0,ns,11826
no_attr_vs_comp,No Attr (Ideal order),2,,,59384751.0,ns,15768
no_attr_vs_comp,No Attr (Ideal order),2,,,81623908.0,ns,19710
no_attr_vs_comp,No Attr (Ideal order),2,,,103070196.0,ns,23652
no_attr_vs_comp,No Attr (Ideal order),2,,,119024702.0,ns,27594
no_attr_vs_comp,No Attr (Ideal order),2,,,133140556.0,ns,31536
no_attr_vs_comp,No Attr (Ideal order),2,,,133421003.0,ns,35478
no_attr_vs_comp,No Attr (Ideal order),2,,,145543721.0,ns,39420
