group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
supportsimplified_vs_combinatorial,Combinatorial (Degenerate order),8,,,17128294.0,ns,19
supportsimplified_vs_combinatorial,Combinatorial (Degenerate order),8,,,34426288.0,ns,38
supportsimplified_vs_combinatorial,Combinatorial (Degenerate order),8,,,46031697.0,ns,57
supportsimplified_vs_combinatorial,Combinatorial (Degenerate order),8,,,60357206.0,ns,76
supportsimplified_vs_combinatorial,Combinatorial (Degenerate order),8,,,74164907.0,ns,95
supportsimplified_vs_combinatorial,Combinatorial (Degenerate order),8,,,92986691.0,ns,114
supportsimplified_vs_combinatorial,Combinatorial (Degenerate order),8,,,106154197.0,ns,133
supportsimplified_vs_combinatorial,Combinatorial (Degenerate order),8,,,118377387.0,ns,152
supportsimplified_vs_combinatorial,Combinatorial (Degenerate order),8,,,129911289.0,ns,171
supportsimplified_vs_combinatorial,Combinatorial (Degenerate order),8,,,142655384.0,ns,190
