group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
supportsimplified_vs_combinatorial,Combinatorial (Ideal order),12,,,17620404.0,ns,124
supportsimplified_vs_combinatorial,Combinatorial (Ideal order),12,,,34198626.0,ns,248
supportsimplified_vs_combinatorial,Combinatorial (Ideal order),12,,,44068424.0,ns,372
supportsimplified_vs_combinatorial,Combinatorial (Ideal order),12,,,57212777.0,ns,496
supportsimplified_vs_combinatorial,Combinatorial (Ideal order),12,,,71142027.0,ns,620
supportsimplified_vs_combinatorial,Combinatorial (Ideal order),12,,,83775720.0,ns,744
supportsimplified_vs_combinatorial,Combinatorial (Ideal order),12,,,100241230.0,ns,868
supportsimplified_vs_combinatorial,Combinatorial (Ideal order),12,,,115728314.0,ns,992
supportsimplified_vs_combinatorial,Combinatorial (Ideal order),12,,,124282031.0,ns,1116
supportsimplified_vs_combinatorial,Combinatorial (Ideal order),12,,,139165637.0,ns,1240
