group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),6,,,17787503.0,ns,18
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),6,,,35518644.0,ns,36
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),6,,,45851251.0,ns,54
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),6,,,61528775.0,ns,72
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),6,,,76370682.0,ns,90
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),6,,,91013395.0,ns,108
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),6,,,103713739.0,ns,126
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),6,,,115955341.0,ns,144
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),6,,,132950335.0,ns,162
supportsimplified_vs_combinatorial,Support Simplified (Degenerate order),6,,,147267928.0,ns,180
