group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bdd_comparator,Degenerate order (Comp arc),4,,,968017.0,ns,39
bdd_comparator,Degenerate order (Comp arc),4,,,2399121.0,ns,78
bdd_comparator,Degenerate order (Comp arc),4,,,3391569.0,ns,117
bdd_comparator,Degenerate order (Comp arc),4,,,3706530.0,ns,156
bdd_comparator,Degenerate order (Comp arc),4,,,5011062.0,ns,195
bdd_comparator,Degenerate order (Comp arc),4,,,6138589.0,ns,234
bdd_comparator,Degenerate order (Comp arc),4,,,9093384.0,ns,273
bdd_comparator,Degenerate order (Comp arc),4,,,10471111.0,ns,312
bdd_comparator,Degenerate order (Comp arc),4,,,9590255.0,ns,351
bdd_comparator,Degenerate order (Comp arc),4,,,11219567.0,ns,390
bdd_comparator,Degenerate order (Comp arc),4,,,11712245.0,ns,429
bdd_comparator,Degenerate order (Comp arc),4,,,12125457.0,ns,468
bdd_comparator,Degenerate order (Comp arc),4,,,12158311.0,ns,507
bdd_comparator,Degenerate order (Comp arc),4,,,14016224.0,ns,546
bdd_comparator,Degenerate order (Comp arc),4,,,14399793.0,ns,585
bdd_comparator,Degenerate order (Comp arc),4,,,15034597.0,ns,624
bdd_comparator,Degenerate order (Comp arc),4,,,16151669.0,ns,663
bdd_comparator,Degenerate order (Comp arc),4,,,17233286.0,ns,702
bdd_comparator,Degenerate order (Comp arc),4,,,18250426.0,ns,741
bdd_comparator,Degenerate order (Comp arc),4,,,20148845.0,ns,780
bdd_comparator,Degenerate order (Comp arc),4,,,20062805.0,ns,819
bdd_comparator,Degenerate order (Comp arc),4,,,20866836.0,ns,858
bdd_comparator,Degenerate order (Comp arc),4,,,22020239.0,ns,897
bdd_comparator,Degenerate order (Comp arc),4,,,22607134.0,ns,936
bdd_comparator,Degenerate order (Comp arc),4,,,23799427.0,ns,975
bdd_comparator,Degenerate order (Comp arc),4,,,24552841.0,ns,1014
bdd_comparator,Degenerate order (Comp arc),4,,,25761224.0,ns,1053
bdd_comparator,Degenerate order (Comp arc),4,,,26999904.0,ns,1092
bdd_comparator,Degenerate order (Comp arc),4,,,27584870.0,ns,1131
bdd_comparator,Degenerate order (Comp arc),4,,,30138053.0,ns,1170
bdd_comparator,Degenerate order (Comp arc),4,,,29862035.0,ns,1209
bdd_comparator,Degenerate order (Comp arc),4,,,29868141.0,ns,1248
bdd_comparator,Degenerate order (Comp arc),4,,,34034197.0,ns,1287
bdd_comparator,Degenerate order (Comp arc),4,,,32786331.0,ns,1326
bdd_comparator,Degenerate order (Comp arc),4,,,34227976.0,ns,1365
bdd_comparator,Degenerate order (Comp arc),4,,,34150516.0,ns,1404
bdd_comparator,Degenerate order (Comp arc),4,,,36195484.0,ns,1443
bdd_comparator,Degenerate order (Comp arc),4,,,36315388.0,ns,1482
bdd_comparator,Degenerate order (Comp arc),4,,,38770698.0,ns,1521
bdd_comparator,Degenerate order (Comp arc),4,,,38980729.0,ns,1560
bdd_comparator,Degenerate order (Comp arc),4,,,40361298.0,ns,1599
bdd_comparator,Degenerate order (Comp arc),4,,,41132154.0,ns,1638
bdd_comparator,Degenerate order (Comp arc),4,,,40663969.0,ns,1677
bdd_comparator,Degenerate order (Comp arc),4,,,41794649.0,ns,1716
bdd_comparator,Degenerate order (Comp arc),4,,,42690159.0,ns,1755
bdd_comparator,Degenerate order (Comp arc),4,,,43809584.0,ns,1794
bdd_comparator,Degenerate order (Comp arc),4,,,44758435.0,ns,1833
bdd_comparator,Degenerate order (Comp arc),4,,,45661631.0,ns,1872
bdd_comparator,Degenerate order (Comp arc),4,,,46501973.0,ns,1911
bdd_comparator,Degenerate order (Comp arc),4,,,47477406.0,ns,1950
bdd_comparator,Degenerate order (Comp arc),4,,,48863359.0,ns,1989
bdd_comparator,Degenerate order (Comp arc),4,,,49478602.0,ns,2028
bdd_comparator,Degenerate order (Comp arc),4,,,50447509.0,ns,2067
bdd_comparator,Degenerate order (Comp arc),4,,,51289207.0,ns,2106
bdd_comparator,Degenerate order (Comp arc),4,,,53431250.0,ns,2145
bdd_comparator,Degenerate order (Comp arc),4,,,53301277.0,ns,2184
bdd_comparator,Degenerate order (Comp arc),4,,,55751823.0,ns,2223
