group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bdd_comparator,Degenerate order (Comp arc),6,,,1274265.0,ns,4
bdd_comparator,Degenerate order (Comp arc),6,,,2673223.0,ns,8
bdd_comparator,Degenerate order (Comp arc),6,,,4314202.0,ns,12
bdd_comparator,Degenerate order (Comp arc),6,,,5222333.0,ns,16
bdd_comparator,Degenerate order (Comp arc),6,,,6469134.0,ns,20
bdd_comparator,Degenerate order (Comp arc),6,,,8178666.0,ns,24
bdd_comparator,Degenerate order (Comp arc),6,,,9412513.0,ns,28
bdd_comparator,Degenerate order (Comp arc),6,,,11203715.0,ns,32
bdd_comparator,Degenerate order (Comp arc),6,,,11785204.0,ns,36
bdd_comparator,Degenerate order (Comp arc),6,,,12847867.0,ns,40
bdd_comparator,Degenerate order (Comp arc),6,,,13439680.0,ns,44
bdd_comparator,Degenerate order (Comp arc),6,,,15909187.0,ns,48
bdd_comparator,Degenerate order (Comp arc),6,,,16204469.0,ns,52
bdd_comparator,Degenerate order (Comp arc),6,,,17061888.0,ns,56
bdd_comparator,Degenerate order (Comp arc),6,,,17826420.0,ns,60
bdd_comparator,Degenerate order (Comp arc),6,,,18003433.0,ns,64
bdd_comparator,Degenerate order (Comp arc),6,,,19127023.0,ns,68
bdd_comparator,Degenerate order (Comp arc),6,,,20430208.0,ns,72
bdd_comparator,Degenerate order (Comp arc),6,,,21361071.0,ns,76
bdd_comparator,Degenerate order (Comp arc),6,,,22368845.0,ns,80
bdd_comparator,Degenerate order (Comp arc),6,,,23279773.0,ns,84
bdd_comparator,Degenerate order (Comp arc),6,,,24800861.0,ns,88
bdd_comparator,Degenerate order (Comp arc),6,,,26213289.0,ns,92
bdd_comparator,Degenerate order (Comp arc),6,,,28408672.0,ns,96
bdd_comparator,Degenerate order (Comp arc),6,,,32037258.0,ns,100
bdd_comparator,Degenerate order (Comp arc),6,,,31379655.0,ns,104
bdd_comparator,Degenerate order (Comp arc),6,,,36645864.0,ns,108
bdd_comparator,Degenerate order (Comp arc),6,,,37328918.0,ns,112
bdd_comparator,Degenerate order (Comp arc),6,,,39155851.0,ns,116
bdd_comparator,Degenerate order (Comp arc),6,,,37901553.0,ns,120
bdd_comparator,Degenerate order (Comp arc),6,,,36690637.0,ns,124
bdd_comparator,Degenerate order (Comp arc),6,,,38417981.0,ns,128
bdd_comparator,Degenerate order (Comp arc),6,,,41955542.0,ns,132
bdd_comparator,Degenerate order (Comp arc),6,,,43153423.0,ns,136
bdd_comparator,Degenerate order (Comp arc),6,,,40361440.0,ns,140
bdd_comparator,Degenerate order (Comp arc),6,,,40672668.0,ns,144
bdd_comparator,Degenerate order (Comp arc),6,,,42720969.0,ns,148
bdd_comparator,Degenerate order (Comp arc),6,,,43903366.0,ns,152
bdd_comparator,Degenerate order (Comp arc),6,,,46582950.0,ns,156
bdd_comparator,Degenerate order (Comp arc),6,,,55943878.0,ns,160
bdd_comparator,Degenerate order (Comp arc),6,,,51094413.0,ns,164
bdd_comparator,Degenerate order (Comp arc),6,,,49428940.0,ns,168
bdd_comparator,Degenerate order (Comp arc),6,,,48595404.0,ns,172
bdd_comparator,Degenerate order (Comp arc),6,,,49704094.0,ns,176
bdd_comparator,Degenerate order (Comp arc),6,,,50704166.0,ns,180
bdd_comparator,Degenerate order (Comp arc),6,,,51868930.0,ns,184
bdd_comparator,Degenerate order (Comp arc),6,,,54225555.0,ns,188
bdd_comparator,Degenerate order (Comp arc),6,,,55347013.0,ns,192
bdd_comparator,Degenerate order (Comp arc),6,,,57496765.0,ns,196
bdd_comparator,Degenerate order (Comp arc),6,,,59447897.0,ns,200
bdd_comparator,Degenerate order (Comp arc),6,,,57480869.0,ns,204
bdd_comparator,Degenerate order (Comp arc),6,,,59587549.0,ns,208
bdd_comparator,Degenerate order (Comp arc),6,,,61405528.0,ns,212
bdd_comparator,Degenerate order (Comp arc),6,,,62587312.0,ns,216
bdd_comparator,Degenerate order (Comp arc),6,,,62579119.0,ns,220
bdd_comparator,Degenerate order (Comp arc),6,,,64613386.0,ns,224
bdd_comparator,Degenerate order (Comp arc),6,,,67494852.0,ns,228
bdd_comparator,Degenerate order (Comp arc),6,,,69527583.0,ns,232
bdd_comparator,Degenerate order (Comp arc),6,,,67604163.0,ns,236
bdd_comparator,Degenerate order (Comp arc),6,,,68537507.0,ns,240
bdd_comparator,Degenerate order (Comp arc),6,,,69886429.0,ns,244
bdd_comparator,Degenerate order (Comp arc),6,,,69766079.0,ns,248
bdd_comparator,Degenerate order (Comp arc),6,,,71328463.0,ns,252
bdd_comparator,Degenerate order (Comp arc),6,,,81135880.0,ns,256
bdd_comparator,Degenerate order (Comp arc),6,,,86506816.0,ns,260
bdd_comparator,Degenerate order (Comp arc),6,,,79803674.0,ns,264
bdd_comparator,Degenerate order (Comp arc),6,,,77469168.0,ns,268
bdd_comparator,Degenerate order (Comp arc),6,,,84882277.0,ns,272
bdd_comparator,Degenerate order (Comp arc),6,,,84402544.0,ns,276
bdd_comparator,Degenerate order (Comp arc),6,,,79560555.0,ns,280
bdd_comparator,Degenerate order (Comp arc),6,,,80603968.0,ns,284
bdd_comparator,Degenerate order (Comp arc),6,,,86411334.0,ns,288
bdd_comparator,Degenerate order (Comp arc),6,,,83336646.0,ns,292
bdd_comparator,Degenerate order (Comp arc),6,,,84171412.0,ns,296
bdd_comparator,Degenerate order (Comp arc),6,,,89883979.0,ns,300
bdd_comparator,Degenerate order (Comp arc),6,,,102350122.0,ns,304
bdd_comparator,Degenerate order (Comp arc),6,,,109102242.0,ns,308
bdd_comparator,Degenerate order (Comp arc),6,,,109841331.0,ns,312
bdd_comparator,Degenerate order (Comp arc),6,,,105707992.0,ns,316
bdd_comparator,Degenerate order (Comp arc),6,,,107852528.0,ns,320
bdd_comparator,Degenerate order (Comp arc),6,,,92298479.0,ns,324
bdd_comparator,Degenerate order (Comp arc),6,,,91599305.0,ns,328
bdd_comparator,Degenerate order (Comp arc),6,,,93896419.0,ns,332
bdd_comparator,Degenerate order (Comp arc),6,,,94125440.0,ns,336
bdd_comparator,Degenerate order (Comp arc),6,,,108132206.0,ns,340
bdd_comparator,Degenerate order (Comp arc),6,,,104316683.0,ns,344
bdd_comparator,Degenerate order (Comp arc),6,,,98567548.0,ns,348
bdd_comparator,Degenerate order (Comp arc),6,,,99575124.0,ns,352
bdd_comparator,Degenerate order (Comp arc),6,,,108478799.0,ns,356
bdd_comparator,Degenerate order (Comp arc),6,,,102458602.0,ns,360
bdd_comparator,Degenerate order (Comp arc),6,,,107589760.0,ns,364
bdd_comparator,Degenerate order (Comp arc),6,,,105010561.0,ns,368
bdd_comparator,Degenerate order (Comp arc),6,,,110782209.0,ns,372
bdd_comparator,Degenerate order (Comp arc),6,,,107824805.0,ns,376
bdd_comparator,Degenerate order (Comp arc),6,,,124939688.0,ns,380
bdd_comparator,Degenerate order (Comp arc),6,,,119792766.0,ns,384
bdd_comparator,Degenerate order (Comp arc),6,,,110684229.0,ns,388
bdd_comparator,Degenerate order (Comp arc),6,,,113946427.0,ns,392
bdd_comparator,Degenerate order (Comp arc),6,,,113065168.0,ns,396
bdd_comparator,Degenerate order (Comp arc),6,,,116035601.0,ns,400
