group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bdd_comparator,Degenerate order (Naive),2,,,959631.0,ns,236
bdd_comparator,Degenerate order (Naive),2,,,2126685.0,ns,472
bdd_comparator,Degenerate order (Naive),2,,,3271966.0,ns,708
bdd_comparator,Degenerate order (Naive),2,,,3922311.0,ns,944
bdd_comparator,Degenerate order (Naive),2,,,4811836.0,ns,1180
bdd_comparator,Degenerate order (Naive),2,,,6420970.0,ns,1416
bdd_comparator,Degenerate order (Naive),2,,,7457835.0,ns,1652
bdd_comparator,Degenerate order (Naive),2,,,8623195.0,ns,1888
bdd_comparator,Degenerate order (Naive),2,,,9404822.0,ns,2124
bdd_comparator,Degenerate order (Naive),2,,,10556088.0,ns,2360
bdd_comparator,Degenerate order (Naive),2,,,10920151.0,ns,2596
bdd_comparator,Degenerate order (Naive),2,,,11275148.0,ns,2832
bdd_comparator,Degenerate order (Naive),2,,,13133568.0,ns,3068
bdd_comparator,Degenerate order (Naive),2,,,13220320.0,ns,3304
bdd_comparator,Degenerate order (Naive),2,,,14422128.0,ns,3540
bdd_comparator,Degenerate order (Naive),2,,,15217497.0,ns,3776
bdd_comparator,Degenerate order (Naive),2,,,16646596.0,ns,4012
bdd_comparator,Degenerate order (Naive),2,,,17226392.0,ns,4248
bdd_comparator,Degenerate order (Naive),2,,,18225388.0,ns,4484
bdd_comparator,Degenerate order (Naive),2,,,19328373.0,ns,4720
bdd_comparator,Degenerate order (Naive),2,,,19862608.0,ns,4956
bdd_comparator,Degenerate order (Naive),2,,,21023175.0,ns,5192
bdd_comparator,Degenerate order (Naive),2,,,21890972.0,ns,5428
bdd_comparator,Degenerate order (Naive),2,,,22633318.0,ns,5664
bdd_comparator,Degenerate order (Naive),2,,,24022800.0,ns,5900
bdd_comparator,Degenerate order (Naive),2,,,26148289.0,ns,6136
bdd_comparator,Degenerate order (Naive),2,,,26055873.0,ns,6372
bdd_comparator,Degenerate order (Naive),2,,,26945260.0,ns,6608
bdd_comparator,Degenerate order (Naive),2,,,27725016.0,ns,6844
bdd_comparator,Degenerate order (Naive),2,,,29120387.0,ns,7080
bdd_comparator,Degenerate order (Naive),2,,,30151802.0,ns,7316
bdd_comparator,Degenerate order (Naive),2,,,31665258.0,ns,7552
bdd_comparator,Degenerate order (Naive),2,,,35660885.0,ns,7788
bdd_comparator,Degenerate order (Naive),2,,,37150763.0,ns,8024
bdd_comparator,Degenerate order (Naive),2,,,38818635.0,ns,8260
bdd_comparator,Degenerate order (Naive),2,,,42232682.0,ns,8496
bdd_comparator,Degenerate order (Naive),2,,,40717927.0,ns,8732
bdd_comparator,Degenerate order (Naive),2,,,46053068.0,ns,8968
bdd_comparator,Degenerate order (Naive),2,,,44985032.0,ns,9204
bdd_comparator,Degenerate order (Naive),2,,,44028702.0,ns,9440
bdd_comparator,Degenerate order (Naive),2,,,41246182.0,ns,9676
bdd_comparator,Degenerate order (Naive),2,,,41762306.0,ns,9912
bdd_comparator,Degenerate order (Naive),2,,,41042637.0,ns,10148
bdd_comparator,Degenerate order (Naive),2,,,42514366.0,ns,10384
bdd_comparator,Degenerate order (Naive),2,,,43493067.0,ns,10620
bdd_comparator,Degenerate order (Naive),2,,,45070529.0,ns,10856
bdd_comparator,Degenerate order (Naive),2,,,44970814.0,ns,11092
bdd_comparator,Degenerate order (Naive),2,,,46302959.0,ns,11328
bdd_comparator,Degenerate order (Naive),2,,,47120984.0,ns,11564
bdd_comparator,Degenerate order (Naive),2,,,48385745.0,ns,11800
bdd_comparator,Degenerate order (Naive),2,,,51007404.0,ns,12036
bdd_comparator,Degenerate order (Naive),2,,,57171724.0,ns,12272
bdd_comparator,Degenerate order (Naive),2,,,50532955.0,ns,12508
bdd_comparator,Degenerate order (Naive),2,,,71401562.0,ns,12744
bdd_comparator,Degenerate order (Naive),2,,,65854720.0,ns,12980
bdd_comparator,Degenerate order (Naive),2,,,65219883.0,ns,13216
bdd_comparator,Degenerate order (Naive),2,,,61907619.0,ns,13452
bdd_comparator,Degenerate order (Naive),2,,,57758536.0,ns,13688
bdd_comparator,Degenerate order (Naive),2,,,58480638.0,ns,13924
bdd_comparator,Degenerate order (Naive),2,,,69308688.0,ns,14160
bdd_comparator,Degenerate order (Naive),2,,,66421915.0,ns,14396
bdd_comparator,Degenerate order (Naive),2,,,65721462.0,ns,14632
bdd_comparator,Degenerate order (Naive),2,,,63637094.0,ns,14868
bdd_comparator,Degenerate order (Naive),2,,,80887711.0,ns,15104
bdd_comparator,Degenerate order (Naive),2,,,75584313.0,ns,15340
bdd_comparator,Degenerate order (Naive),2,,,78624592.0,ns,15576
bdd_comparator,Degenerate order (Naive),2,,,80665019.0,ns,15812
bdd_comparator,Degenerate order (Naive),2,,,74359870.0,ns,16048
bdd_comparator,Degenerate order (Naive),2,,,71097227.0,ns,16284
bdd_comparator,Degenerate order (Naive),2,,,72834841.0,ns,16520
bdd_comparator,Degenerate order (Naive),2,,,76187283.0,ns,16756
bdd_comparator,Degenerate order (Naive),2,,,70053488.0,ns,16992
bdd_comparator,Degenerate order (Naive),2,,,71003558.0,ns,17228
bdd_comparator,Degenerate order (Naive),2,,,78978409.0,ns,17464
bdd_comparator,Degenerate order (Naive),2,,,73383290.0,ns,17700
bdd_comparator,Degenerate order (Naive),2,,,75084006.0,ns,17936
bdd_comparator,Degenerate order (Naive),2,,,84853850.0,ns,18172
bdd_comparator,Degenerate order (Naive),2,,,81764160.0,ns,18408
bdd_comparator,Degenerate order (Naive),2,,,77062404.0,ns,18644
bdd_comparator,Degenerate order (Naive),2,,,82385450.0,ns,18880
bdd_comparator,Degenerate order (Naive),2,,,81783939.0,ns,19116
bdd_comparator,Degenerate order (Naive),2,,,79789432.0,ns,19352
bdd_comparator,Degenerate order (Naive),2,,,86838060.0,ns,19588
bdd_comparator,Degenerate order (Naive),2,,,92490994.0,ns,19824
bdd_comparator,Degenerate order (Naive),2,,,83404621.0,ns,20060
bdd_comparator,Degenerate order (Naive),2,,,91854777.0,ns,20296
bdd_comparator,Degenerate order (Naive),2,,,101791657.0,ns,20532
bdd_comparator,Degenerate order (Naive),2,,,108383738.0,ns,20768
bdd_comparator,Degenerate order (Naive),2,,,96599345.0,ns,21004
bdd_comparator,Degenerate order (Naive),2,,,98401256.0,ns,21240
bdd_comparator,Degenerate order (Naive),2,,,90127799.0,ns,21476
bdd_comparator,Degenerate order (Naive),2,,,90233978.0,ns,21712
bdd_comparator,Degenerate order (Naive),2,,,90929161.0,ns,21948
bdd_comparator,Degenerate order (Naive),2,,,91528142.0,ns,22184
bdd_comparator,Degenerate order (Naive),2,,,92856939.0,ns,22420
bdd_comparator,Degenerate order (Naive),2,,,94600594.0,ns,22656
bdd_comparator,Degenerate order (Naive),2,,,94272990.0,ns,22892
bdd_comparator,Degenerate order (Naive),2,,,95361488.0,ns,23128
bdd_comparator,Degenerate order (Naive),2,,,96903403.0,ns,23364
bdd_comparator,Degenerate order (Naive),2,,,97450037.0,ns,23600
