group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bdd_comparator,Degenerate order (Naive),4,,,958296.0,ns,31
bdd_comparator,Degenerate order (Naive),4,,,1976107.0,ns,62
bdd_comparator,Degenerate order (Naive),4,,,3251645.0,ns,93
bdd_comparator,Degenerate order (Naive),4,,,4079666.0,ns,124
bdd_comparator,Degenerate order (Naive),4,,,4852404.0,ns,155
bdd_comparator,Degenerate order (Naive),4,,,5959345.0,ns,186
bdd_comparator,Degenerate order (Naive),4,,,7074059.0,ns,217
bdd_comparator,Degenerate order (Naive),4,,,8200073.0,ns,248
bdd_comparator,Degenerate order (Naive),4,,,9547928.0,ns,279
bdd_comparator,Degenerate order (Naive),4,,,10691847.0,ns,310
bdd_comparator,Degenerate order (Naive),4,,,11190375.0,ns,341
bdd_comparator,Degenerate order (Naive),4,,,12000316.0,ns,372
bdd_comparator,Degenerate order (Naive),4,,,12781805.0,ns,403
bdd_comparator,Degenerate order (Naive),4,,,13530815.0,ns,434
bdd_comparator,Degenerate order (Naive),4,,,14602825.0,ns,465
bdd_comparator,Degenerate order (Naive),4,,,15860818.0,ns,496
bdd_comparator,Degenerate order (Naive),4,,,16419082.0,ns,527
bdd_comparator,Degenerate order (Naive),4,,,17503223.0,ns,558
bdd_comparator,Degenerate order (Naive),4,,,18317443.0,ns,589
bdd_comparator,Degenerate order (Naive),4,,,19493966.0,ns,620
bdd_comparator,Degenerate order (Naive),4,,,20222029.0,ns,651
bdd_comparator,Degenerate order (Naive),4,,,21366021.0,ns,682
bdd_comparator,Degenerate order (Naive),4,,,22588841.0,ns,713
bdd_comparator,Degenerate order (Naive),4,,,23427567.0,ns,744
bdd_comparator,Degenerate order (Naive),4,,,24099240.0,ns,775
bdd_comparator,Degenerate order (Naive),4,,,25255391.0,ns,806
bdd_comparator,Degenerate order (Naive),4,,,26234326.0,ns,837
bdd_comparator,Degenerate order (Naive),4,,,28681376.0,ns,868
bdd_comparator,Degenerate order (Naive),4,,,28558010.0,ns,899
bdd_comparator,Degenerate order (Naive),4,,,29812211.0,ns,930
bdd_comparator,Degenerate order (Naive),4,,,30288169.0,ns,961
bdd_comparator,Degenerate order (Naive),4,,,31206124.0,ns,992
bdd_comparator,Degenerate order (Naive),4,,,32657049.0,ns,1023
bdd_comparator,Degenerate order (Naive),4,,,32907859.0,ns,1054
bdd_comparator,Degenerate order (Naive),4,,,33952278.0,ns,1085
bdd_comparator,Degenerate order (Naive),4,,,35472959.0,ns,1116
bdd_comparator,Degenerate order (Naive),4,,,35952692.0,ns,1147
bdd_comparator,Degenerate order (Naive),4,,,36850873.0,ns,1178
bdd_comparator,Degenerate order (Naive),4,,,37560606.0,ns,1209
bdd_comparator,Degenerate order (Naive),4,,,38857835.0,ns,1240
bdd_comparator,Degenerate order (Naive),4,,,39594229.0,ns,1271
bdd_comparator,Degenerate order (Naive),4,,,41567495.0,ns,1302
bdd_comparator,Degenerate order (Naive),4,,,42708101.0,ns,1333
bdd_comparator,Degenerate order (Naive),4,,,42223939.0,ns,1364
bdd_comparator,Degenerate order (Naive),4,,,43459983.0,ns,1395
bdd_comparator,Degenerate order (Naive),4,,,45931814.0,ns,1426
bdd_comparator,Degenerate order (Naive),4,,,45785766.0,ns,1457
bdd_comparator,Degenerate order (Naive),4,,,47388014.0,ns,1488
bdd_comparator,Degenerate order (Naive),4,,,48051303.0,ns,1519
bdd_comparator,Degenerate order (Naive),4,,,48438591.0,ns,1550
bdd_comparator,Degenerate order (Naive),4,,,49213899.0,ns,1581
bdd_comparator,Degenerate order (Naive),4,,,50592482.0,ns,1612
bdd_comparator,Degenerate order (Naive),4,,,51687100.0,ns,1643
bdd_comparator,Degenerate order (Naive),4,,,51813688.0,ns,1674
bdd_comparator,Degenerate order (Naive),4,,,53648933.0,ns,1705
bdd_comparator,Degenerate order (Naive),4,,,54948416.0,ns,1736
bdd_comparator,Degenerate order (Naive),4,,,54669399.0,ns,1767
bdd_comparator,Degenerate order (Naive),4,,,57978011.0,ns,1798
bdd_comparator,Degenerate order (Naive),4,,,58080990.0,ns,1829
bdd_comparator,Degenerate order (Naive),4,,,57664779.0,ns,1860
bdd_comparator,Degenerate order (Naive),4,,,59583972.0,ns,1891
bdd_comparator,Degenerate order (Naive),4,,,60264192.0,ns,1922
bdd_comparator,Degenerate order (Naive),4,,,61294408.0,ns,1953
bdd_comparator,Degenerate order (Naive),4,,,61890156.0,ns,1984
bdd_comparator,Degenerate order (Naive),4,,,63016899.0,ns,2015
bdd_comparator,Degenerate order (Naive),4,,,66425045.0,ns,2046
bdd_comparator,Degenerate order (Naive),4,,,65343685.0,ns,2077
bdd_comparator,Degenerate order (Naive),4,,,65889746.0,ns,2108
bdd_comparator,Degenerate order (Naive),4,,,67277388.0,ns,2139
bdd_comparator,Degenerate order (Naive),4,,,70576857.0,ns,2170
bdd_comparator,Degenerate order (Naive),4,,,68118917.0,ns,2201
bdd_comparator,Degenerate order (Naive),4,,,74159000.0,ns,2232
bdd_comparator,Degenerate order (Naive),4,,,71995267.0,ns,2263
bdd_comparator,Degenerate order (Naive),4,,,71318204.0,ns,2294
bdd_comparator,Degenerate order (Naive),4,,,72940098.0,ns,2325
bdd_comparator,Degenerate order (Naive),4,,,73222591.0,ns,2356
bdd_comparator,Degenerate order (Naive),4,,,77669987.0,ns,2387
bdd_comparator,Degenerate order (Naive),4,,,75351266.0,ns,2418
bdd_comparator,Degenerate order (Naive),4,,,80781294.0,ns,2449
bdd_comparator,Degenerate order (Naive),4,,,80903358.0,ns,2480
bdd_comparator,Degenerate order (Naive),4,,,78314100.0,ns,2511
bdd_comparator,Degenerate order (Naive),4,,,79340639.0,ns,2542
bdd_comparator,Degenerate order (Naive),4,,,83630526.0,ns,2573
bdd_comparator,Degenerate order (Naive),4,,,88450596.0,ns,2604
bdd_comparator,Degenerate order (Naive),4,,,98478984.0,ns,2635
bdd_comparator,Degenerate order (Naive),4,,,93469663.0,ns,2666
bdd_comparator,Degenerate order (Naive),4,,,84970806.0,ns,2697
bdd_comparator,Degenerate order (Naive),4,,,84924679.0,ns,2728
bdd_comparator,Degenerate order (Naive),4,,,86821725.0,ns,2759
bdd_comparator,Degenerate order (Naive),4,,,86447989.0,ns,2790
bdd_comparator,Degenerate order (Naive),4,,,89974397.0,ns,2821
bdd_comparator,Degenerate order (Naive),4,,,90475771.0,ns,2852
bdd_comparator,Degenerate order (Naive),4,,,89766453.0,ns,2883
