group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bdd_comparator,Efficient order (Comp arc),1,,,956884.0,ns,828
bdd_comparator,Efficient order (Comp arc),1,,,1818865.0,ns,1656
bdd_comparator,Efficient order (Comp arc),1,,,2919993.0,ns,2484
bdd_comparator,Efficient order (Comp arc),1,,,3770971.0,ns,3312
bdd_comparator,Efficient order (Comp arc),1,,,4744919.0,ns,4140
bdd_comparator,Efficient order (Comp arc),1,,,5449773.0,ns,4968
bdd_comparator,Efficient order (Comp arc),1,,,6394242.0,ns,5796
bdd_comparator,Efficient order (Comp arc),1,,,8171666.0,ns,6624
bdd_comparator,Efficient order (Comp arc),1,,,9544751.0,ns,7452
bdd_comparator,Efficient order (Comp arc),1,,,10670142.0,ns,8280
bdd_comparator,Efficient order (Comp arc),1,,,10891908.0,ns,9108
bdd_comparator,Efficient order (Comp arc),1,,,10814321.0,ns,9936
bdd_comparator,Efficient order (Comp arc),1,,,11768626.0,ns,10764
bdd_comparator,Efficient order (Comp arc),1,,,12953283.0,ns,11592
bdd_comparator,Efficient order (Comp arc),1,,,13470024.0,ns,12420
bdd_comparator,Efficient order (Comp arc),1,,,14332664.0,ns,13248
bdd_comparator,Efficient order (Comp arc),1,,,15788715.0,ns,14076
bdd_comparator,Efficient order (Comp arc),1,,,16045199.0,ns,14904
bdd_comparator,Efficient order (Comp arc),1,,,17081491.0,ns,15732
bdd_comparator,Efficient order (Comp arc),1,,,18317738.0,ns,16560
bdd_comparator,Efficient order (Comp arc),1,,,19207129.0,ns,17388
bdd_comparator,Efficient order (Comp arc),1,,,21883588.0,ns,18216
bdd_comparator,Efficient order (Comp arc),1,,,21757550.0,ns,19044
bdd_comparator,Efficient order (Comp arc),1,,,21918288.0,ns,19872
bdd_comparator,Efficient order (Comp arc),1,,,22587342.0,ns,20700
bdd_comparator,Efficient order (Comp arc),1,,,23968861.0,ns,21528
bdd_comparator,Efficient order (Comp arc),1,,,25088312.0,ns,22356
bdd_comparator,Efficient order (Comp arc),1,,,25986955.0,ns,23184
bdd_comparator,Efficient order (Comp arc),1,,,27241670.0,ns,24012
bdd_comparator,Efficient order (Comp arc),1,,,28215757.0,ns,24840
bdd_comparator,Efficient order (Comp arc),1,,,28562508.0,ns,25668
bdd_comparator,Efficient order (Comp arc),1,,,28817908.0,ns,26496
bdd_comparator,Efficient order (Comp arc),1,,,30689181.0,ns,27324
bdd_comparator,Efficient order (Comp arc),1,,,32427043.0,ns,28152
bdd_comparator,Efficient order (Comp arc),1,,,31649844.0,ns,28980
bdd_comparator,Efficient order (Comp arc),1,,,33046517.0,ns,29808
bdd_comparator,Efficient order (Comp arc),1,,,34589380.0,ns,30636
bdd_comparator,Efficient order (Comp arc),1,,,34234060.0,ns,31464
bdd_comparator,Efficient order (Comp arc),1,,,35861933.0,ns,32292
bdd_comparator,Efficient order (Comp arc),1,,,36374335.0,ns,33120
bdd_comparator,Efficient order (Comp arc),1,,,36968502.0,ns,33948
bdd_comparator,Efficient order (Comp arc),1,,,37665803.0,ns,34776
bdd_comparator,Efficient order (Comp arc),1,,,39005666.0,ns,35604
bdd_comparator,Efficient order (Comp arc),1,,,39966638.0,ns,36432
bdd_comparator,Efficient order (Comp arc),1,,,48165728.0,ns,37260
