group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bdd_comparator,Efficient order (Comp arc),2,,,966153.0,ns,364
bdd_comparator,Efficient order (Comp arc),2,,,2271767.0,ns,728
bdd_comparator,Efficient order (Comp arc),2,,,3185730.0,ns,1092
bdd_comparator,Efficient order (Comp arc),2,,,4044734.0,ns,1456
bdd_comparator,Efficient order (Comp arc),2,,,4935546.0,ns,1820
bdd_comparator,Efficient order (Comp arc),2,,,6220973.0,ns,2184
bdd_comparator,Efficient order (Comp arc),2,,,7440953.0,ns,2548
bdd_comparator,Efficient order (Comp arc),2,,,8009442.0,ns,2912
bdd_comparator,Efficient order (Comp arc),2,,,8895833.0,ns,3276
bdd_comparator,Efficient order (Comp arc),2,,,10147224.0,ns,3640
bdd_comparator,Efficient order (Comp arc),2,,,10395428.0,ns,4004
bdd_comparator,Efficient order (Comp arc),2,,,11525288.0,ns,4368
bdd_comparator,Efficient order (Comp arc),2,,,12991914.0,ns,4732
bdd_comparator,Efficient order (Comp arc),2,,,16031817.0,ns,5096
bdd_comparator,Efficient order (Comp arc),2,,,16767491.0,ns,5460
bdd_comparator,Efficient order (Comp arc),2,,,17055946.0,ns,5824
bdd_comparator,Efficient order (Comp arc),2,,,17236476.0,ns,6188
bdd_comparator,Efficient order (Comp arc),2,,,18918825.0,ns,6552
bdd_comparator,Efficient order (Comp arc),2,,,18261460.0,ns,6916
bdd_comparator,Efficient order (Comp arc),2,,,18992619.0,ns,7280
bdd_comparator,Efficient order (Comp arc),2,,,20119905.0,ns,7644
bdd_comparator,Efficient order (Comp arc),2,,,21257215.0,ns,8008
bdd_comparator,Efficient order (Comp arc),2,,,20955402.0,ns,8372
bdd_comparator,Efficient order (Comp arc),2,,,22625311.0,ns,8736
bdd_comparator,Efficient order (Comp arc),2,,,22998810.0,ns,9100
bdd_comparator,Efficient order (Comp arc),2,,,24873397.0,ns,9464
bdd_comparator,Efficient order (Comp arc),2,,,25830062.0,ns,9828
bdd_comparator,Efficient order (Comp arc),2,,,26837018.0,ns,10192
bdd_comparator,Efficient order (Comp arc),2,,,28071472.0,ns,10556
bdd_comparator,Efficient order (Comp arc),2,,,28604510.0,ns,10920
bdd_comparator,Efficient order (Comp arc),2,,,29412986.0,ns,11284
bdd_comparator,Efficient order (Comp arc),2,,,29943296.0,ns,11648
bdd_comparator,Efficient order (Comp arc),2,,,31425639.0,ns,12012
bdd_comparator,Efficient order (Comp arc),2,,,32763625.0,ns,12376
bdd_comparator,Efficient order (Comp arc),2,,,33400761.0,ns,12740
bdd_comparator,Efficient order (Comp arc),2,,,34397898.0,ns,13104
bdd_comparator,Efficient order (Comp arc),2,,,35089361.0,ns,13468
bdd_comparator,Efficient order (Comp arc),2,,,36025977.0,ns,13832
bdd_comparator,Efficient order (Comp arc),2,,,37882347.0,ns,14196
bdd_comparator,Efficient order (Comp arc),2,,,37077479.0,ns,14560
bdd_comparator,Efficient order (Comp arc),2,,,38412673.0,ns,14924
bdd_comparator,Efficient order (Comp arc),2,,,40170147.0,ns,15288
bdd_comparator,Efficient order (Comp arc),2,,,40875855.0,ns,15652
bdd_comparator,Efficient order (Comp arc),2,,,41979067.0,ns,16016
bdd_comparator,Efficient order (Comp arc),2,,,42171216.0,ns,16380
bdd_comparator,Efficient order (Comp arc),2,,,44339543.0,ns,16744
bdd_comparator,Efficient order (Comp arc),2,,,45104049.0,ns,17108
bdd_comparator,Efficient order (Comp arc),2,,,44056311.0,ns,17472
bdd_comparator,Efficient order (Comp arc),2,,,46044042.0,ns,17836
bdd_comparator,Efficient order (Comp arc),2,,,47606594.0,ns,18200
bdd_comparator,Efficient order (Comp arc),2,,,48895022.0,ns,18564
