group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bdd_comparator,Efficient order (Naive),5,,,1240941.0,ns,11
bdd_comparator,Efficient order (Naive),5,,,2237035.0,ns,22
bdd_comparator,Efficient order (Naive),5,,,3100121.0,ns,33
bdd_comparator,Efficient order (Naive),5,,,4082173.0,ns,44
bdd_comparator,Efficient order (Naive),5,,,5160459.0,ns,55
bdd_comparator,Efficient order (Naive),5,,,6431598.0,ns,66
bdd_comparator,Efficient order (Naive),5,,,7229243.0,ns,77
bdd_comparator,Efficient order (Naive),5,,,8341267.0,ns,88
bdd_comparator,Efficient order (Naive),5,,,9296297.0,ns,99
bdd_comparator,Efficient order (Naive),5,,,10351283.0,ns,110
bdd_comparator,Efficient order (Naive),5,,,11393149.0,ns,121
bdd_comparator,Efficient order (Naive),5,,,12150446.0,ns,132
bdd_comparator,Efficient order (Naive),5,,,13712393.0,ns,143
bdd_comparator,Efficient order (Naive),5,,,14380001.0,ns,154
bdd_comparator,Efficient order (Naive),5,,,15031843.0,ns,165
bdd_comparator,Efficient order (Naive),5,,,18156671.0,ns,176
bdd_comparator,Efficient order (Naive),5,,,17507975.0,ns,187
bdd_comparator,Efficient order (Naive),5,,,18527205.0,ns,198
bdd_comparator,Efficient order (Naive),5,,,19487912.0,ns,209
bdd_comparator,Efficient order (Naive),5,,,20284101.0,ns,220
bdd_comparator,Efficient order (Naive),5,,,21751108.0,ns,231
bdd_comparator,Efficient order (Naive),5,,,22121105.0,ns,242
bdd_comparator,Efficient order (Naive),5,,,23911746.0,ns,253
bdd_comparator,Efficient order (Naive),5,,,25078132.0,ns,264
bdd_comparator,Efficient order (Naive),5,,,25451997.0,ns,275
bdd_comparator,Efficient order (Naive),5,,,27561765.0,ns,286
bdd_comparator,Efficient order (Naive),5,,,27824327.0,ns,297
bdd_comparator,Efficient order (Naive),5,,,28910723.0,ns,308
bdd_comparator,Efficient order (Naive),5,,,30465336.0,ns,319
bdd_comparator,Efficient order (Naive),5,,,30641489.0,ns,330
bdd_comparator,Efficient order (Naive),5,,,31779946.0,ns,341
bdd_comparator,Efficient order (Naive),5,,,34951138.0,ns,352
bdd_comparator,Efficient order (Naive),5,,,36140162.0,ns,363
bdd_comparator,Efficient order (Naive),5,,,35000723.0,ns,374
bdd_comparator,Efficient order (Naive),5,,,35487079.0,ns,385
bdd_comparator,Efficient order (Naive),5,,,37256117.0,ns,396
bdd_comparator,Efficient order (Naive),5,,,37496128.0,ns,407
bdd_comparator,Efficient order (Naive),5,,,39364824.0,ns,418
bdd_comparator,Efficient order (Naive),5,,,40160884.0,ns,429
bdd_comparator,Efficient order (Naive),5,,,40697849.0,ns,440
bdd_comparator,Efficient order (Naive),5,,,41408314.0,ns,451
bdd_comparator,Efficient order (Naive),5,,,42601552.0,ns,462
bdd_comparator,Efficient order (Naive),5,,,46671014.0,ns,473
bdd_comparator,Efficient order (Naive),5,,,49174868.0,ns,484
bdd_comparator,Efficient order (Naive),5,,,50867574.0,ns,495
bdd_comparator,Efficient order (Naive),5,,,53652375.0,ns,506
bdd_comparator,Efficient order (Naive),5,,,55526669.0,ns,517
bdd_comparator,Efficient order (Naive),5,,,56723910.0,ns,528
bdd_comparator,Efficient order (Naive),5,,,55081493.0,ns,539
bdd_comparator,Efficient order (Naive),5,,,57583019.0,ns,550
bdd_comparator,Efficient order (Naive),5,,,59633608.0,ns,561
bdd_comparator,Efficient order (Naive),5,,,74511352.0,ns,572
bdd_comparator,Efficient order (Naive),5,,,68311865.0,ns,583
bdd_comparator,Efficient order (Naive),5,,,65041061.0,ns,594
bdd_comparator,Efficient order (Naive),5,,,68591019.0,ns,605
bdd_comparator,Efficient order (Naive),5,,,65761306.0,ns,616
bdd_comparator,Efficient order (Naive),5,,,59266402.0,ns,627
bdd_comparator,Efficient order (Naive),5,,,63088188.0,ns,638
bdd_comparator,Efficient order (Naive),5,,,60053231.0,ns,649
bdd_comparator,Efficient order (Naive),5,,,62657998.0,ns,660
bdd_comparator,Efficient order (Naive),5,,,63123207.0,ns,671
bdd_comparator,Efficient order (Naive),5,,,62592659.0,ns,682
bdd_comparator,Efficient order (Naive),5,,,67344784.0,ns,693
bdd_comparator,Efficient order (Naive),5,,,65145364.0,ns,704
bdd_comparator,Efficient order (Naive),5,,,66521876.0,ns,715
bdd_comparator,Efficient order (Naive),5,,,69419251.0,ns,726
bdd_comparator,Efficient order (Naive),5,,,69153668.0,ns,737
bdd_comparator,Efficient order (Naive),5,,,70255007.0,ns,748
bdd_comparator,Efficient order (Naive),5,,,80407605.0,ns,759
bdd_comparator,Efficient order (Naive),5,,,80329336.0,ns,770
bdd_comparator,Efficient order (Naive),5,,,86053820.0,ns,781
bdd_comparator,Efficient order (Naive),5,,,83018187.0,ns,792
bdd_comparator,Efficient order (Naive),5,,,84001046.0,ns,803
