group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bdd_comparator,Efficient order (Naive),6,,,1297168.0,ns,3
bdd_comparator,Efficient order (Naive),6,,,2511107.0,ns,6
bdd_comparator,Efficient order (Naive),6,,,4419925.0,ns,9
bdd_comparator,Efficient order (Naive),6,,,5208075.0,ns,12
bdd_comparator,Efficient order (Naive),6,,,6134175.0,ns,15
bdd_comparator,Efficient order (Naive),6,,,7649567.0,ns,18
bdd_comparator,Efficient order (Naive),6,,,9120096.0,ns,21
bdd_comparator,Efficient order (Naive),6,,,9863853.0,ns,24
bdd_comparator,Efficient order (Naive),6,,,10506274.0,ns,27
bdd_comparator,Efficient order (Naive),6,,,11219584.0,ns,30
bdd_comparator,Efficient order (Naive),6,,,13219398.0,ns,33
bdd_comparator,Efficient order (Naive),6,,,12814774.0,ns,36
bdd_comparator,Efficient order (Naive),6,,,15458513.0,ns,39
bdd_comparator,Efficient order (Naive),6,,,14953413.0,ns,42
bdd_comparator,Efficient order (Naive),6,,,16253847.0,ns,45
bdd_comparator,Efficient order (Naive),6,,,17652318.0,ns,48
bdd_comparator,Efficient order (Naive),6,,,18356722.0,ns,51
bdd_comparator,Efficient order (Naive),6,,,18996505.0,ns,54
bdd_comparator,Efficient order (Naive),6,,,21551505.0,ns,57
bdd_comparator,Efficient order (Naive),6,,,21550695.0,ns,60
bdd_comparator,Efficient order (Naive),6,,,23084596.0,ns,63
bdd_comparator,Efficient order (Naive),6,,,24797487.0,ns,66
bdd_comparator,Efficient order (Naive),6,,,25846637.0,ns,69
bdd_comparator,Efficient order (Naive),6,,,25674526.0,ns,72
bdd_comparator,Efficient order (Naive),6,,,26717944.0,ns,75
bdd_comparator,Efficient order (Naive),6,,,28142217.0,ns,78
bdd_comparator,Efficient order (Naive),6,,,28259305.0,ns,81
bdd_comparator,Efficient order (Naive),6,,,29314339.0,ns,84
bdd_comparator,Efficient order (Naive),6,,,30999696.0,ns,87
bdd_comparator,Efficient order (Naive),6,,,31836802.0,ns,90
bdd_comparator,Efficient order (Naive),6,,,33709761.0,ns,93
bdd_comparator,Efficient order (Naive),6,,,33739199.0,ns,96
bdd_comparator,Efficient order (Naive),6,,,36384831.0,ns,99
bdd_comparator,Efficient order (Naive),6,,,37587136.0,ns,102
bdd_comparator,Efficient order (Naive),6,,,42590730.0,ns,105
bdd_comparator,Efficient order (Naive),6,,,41606345.0,ns,108
bdd_comparator,Efficient order (Naive),6,,,41384479.0,ns,111
bdd_comparator,Efficient order (Naive),6,,,39916195.0,ns,114
bdd_comparator,Efficient order (Naive),6,,,41170653.0,ns,117
bdd_comparator,Efficient order (Naive),6,,,41779387.0,ns,120
bdd_comparator,Efficient order (Naive),6,,,42770327.0,ns,123
bdd_comparator,Efficient order (Naive),6,,,44072520.0,ns,126
bdd_comparator,Efficient order (Naive),6,,,47011973.0,ns,129
bdd_comparator,Efficient order (Naive),6,,,46096904.0,ns,132
bdd_comparator,Efficient order (Naive),6,,,46890191.0,ns,135
bdd_comparator,Efficient order (Naive),6,,,51065420.0,ns,138
bdd_comparator,Efficient order (Naive),6,,,53397314.0,ns,141
bdd_comparator,Efficient order (Naive),6,,,54733741.0,ns,144
bdd_comparator,Efficient order (Naive),6,,,54873151.0,ns,147
bdd_comparator,Efficient order (Naive),6,,,52592520.0,ns,150
bdd_comparator,Efficient order (Naive),6,,,54217440.0,ns,153
bdd_comparator,Efficient order (Naive),6,,,56526750.0,ns,156
bdd_comparator,Efficient order (Naive),6,,,55768213.0,ns,159
bdd_comparator,Efficient order (Naive),6,,,59828358.0,ns,162
bdd_comparator,Efficient order (Naive),6,,,57790136.0,ns,165
bdd_comparator,Efficient order (Naive),6,,,59443934.0,ns,168
bdd_comparator,Efficient order (Naive),6,,,63944639.0,ns,171
bdd_comparator,Efficient order (Naive),6,,,61749588.0,ns,174
bdd_comparator,Efficient order (Naive),6,,,61356579.0,ns,177
bdd_comparator,Efficient order (Naive),6,,,63283354.0,ns,180
bdd_comparator,Efficient order (Naive),6,,,66574008.0,ns,183
bdd_comparator,Efficient order (Naive),6,,,67499078.0,ns,186
bdd_comparator,Efficient order (Naive),6,,,67749939.0,ns,189
bdd_comparator,Efficient order (Naive),6,,,71071525.0,ns,192
bdd_comparator,Efficient order (Naive),6,,,72898582.0,ns,195
bdd_comparator,Efficient order (Naive),6,,,69535742.0,ns,198
bdd_comparator,Efficient order (Naive),6,,,70784360.0,ns,201
bdd_comparator,Efficient order (Naive),6,,,72294929.0,ns,204
bdd_comparator,Efficient order (Naive),6,,,75383804.0,ns,207
bdd_comparator,Efficient order (Naive),6,,,75003934.0,ns,210
bdd_comparator,Efficient order (Naive),6,,,80146064.0,ns,213
bdd_comparator,Efficient order (Naive),6,,,77337454.0,ns,216
bdd_comparator,Efficient order (Naive),6,,,77271359.0,ns,219
bdd_comparator,Efficient order (Naive),6,,,86134892.0,ns,222
bdd_comparator,Efficient order (Naive),6,,,96479357.0,ns,225
bdd_comparator,Efficient order (Naive),6,,,90633993.0,ns,228
bdd_comparator,Efficient order (Naive),6,,,83456590.0,ns,231
bdd_comparator,Efficient order (Naive),6,,,85799420.0,ns,234
bdd_comparator,Efficient order (Naive),6,,,82885563.0,ns,237
bdd_comparator,Efficient order (Naive),6,,,90954123.0,ns,240
bdd_comparator,Efficient order (Naive),6,,,85723418.0,ns,243
bdd_comparator,Efficient order (Naive),6,,,91340022.0,ns,246
bdd_comparator,Efficient order (Naive),6,,,96007581.0,ns,249
bdd_comparator,Efficient order (Naive),6,,,89776069.0,ns,252
bdd_comparator,Efficient order (Naive),6,,,106703537.0,ns,255
bdd_comparator,Efficient order (Naive),6,,,103727861.0,ns,258
bdd_comparator,Efficient order (Naive),6,,,99531205.0,ns,261
bdd_comparator,Efficient order (Naive),6,,,112302912.0,ns,264
bdd_comparator,Efficient order (Naive),6,,,107444063.0,ns,267
bdd_comparator,Efficient order (Naive),6,,,101718307.0,ns,270
bdd_comparator,Efficient order (Naive),6,,,95445676.0,ns,273
bdd_comparator,Efficient order (Naive),6,,,97433359.0,ns,276
bdd_comparator,Efficient order (Naive),6,,,112036550.0,ns,279
bdd_comparator,Efficient order (Naive),6,,,115357110.0,ns,282
bdd_comparator,Efficient order (Naive),6,,,109435235.0,ns,285
bdd_comparator,Efficient order (Naive),6,,,100429670.0,ns,288
bdd_comparator,Efficient order (Naive),6,,,101659107.0,ns,291
bdd_comparator,Efficient order (Naive),6,,,106908360.0,ns,294
bdd_comparator,Efficient order (Naive),6,,,127059300.0,ns,297
bdd_comparator,Efficient order (Naive),6,,,123013340.0,ns,300
