group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_memoization,Hash,10,,,103541150.0,ns,1
hash_vs_btree_memoization,Hash,10,,,208730393.0,ns,2
hash_vs_btree_memoization,Hash,10,,,310906333.0,ns,3
hash_vs_btree_memoization,Hash,10,,,426422327.0,ns,4
hash_vs_btree_memoization,Hash,10,,,555741132.0,ns,5
hash_vs_btree_memoization,Hash,10,,,632341134.0,ns,6
hash_vs_btree_memoization,Hash,10,,,724748738.0,ns,7
hash_vs_btree_memoization,Hash,10,,,828745725.0,ns,8
hash_vs_btree_memoization,Hash,10,,,938985879.0,ns,9
hash_vs_btree_memoization,Hash,10,,,1011568335.0,ns,10
