group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_memoization,Hash,6,,,16776712.0,ns,36
hash_vs_btree_memoization,Hash,6,,,33878607.0,ns,72
hash_vs_btree_memoization,Hash,6,,,49744691.0,ns,108
hash_vs_btree_memoization,Hash,6,,,66847452.0,ns,144
hash_vs_btree_memoization,Hash,6,,,81720942.0,ns,180
hash_vs_btree_memoization,Hash,6,,,98654031.0,ns,216
hash_vs_btree_memoization,Hash,6,,,115445303.0,ns,252
hash_vs_btree_memoization,Hash,6,,,131504212.0,ns,288
hash_vs_btree_memoization,Hash,6,,,146041298.0,ns,324
hash_vs_btree_memoization,Hash,6,,,160226773.0,ns,360
