group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,BTree,2,,,937779.0,ns,142
hash_vs_btree_vs_vec_coff,BTree,2,,,1919276.0,ns,284
hash_vs_btree_vs_vec_coff,BTree,2,,,3156563.0,ns,426
hash_vs_btree_vs_vec_coff,BTree,2,,,3668522.0,ns,568
hash_vs_btree_vs_vec_coff,BTree,2,,,4542718.0,ns,710
hash_vs_btree_vs_vec_coff,BTree,2,,,6025439.0,ns,852
hash_vs_btree_vs_vec_coff,BTree,2,,,6744167.0,ns,994
hash_vs_btree_vs_vec_coff,BTree,2,,,7894198.0,ns,1136
hash_vs_btree_vs_vec_coff,BTree,2,,,10017763.0,ns,1278
hash_vs_btree_vs_vec_coff,BTree,2,,,10401775.0,ns,1420
hash_vs_btree_vs_vec_coff,BTree,2,,,11899510.0,ns,1562
hash_vs_btree_vs_vec_coff,BTree,2,,,12764365.0,ns,1704
hash_vs_btree_vs_vec_coff,BTree,2,,,13385527.0,ns,1846
hash_vs_btree_vs_vec_coff,BTree,2,,,14242995.0,ns,1988
hash_vs_btree_vs_vec_coff,BTree,2,,,14045401.0,ns,2130
hash_vs_btree_vs_vec_coff,BTree,2,,,14581597.0,ns,2272
hash_vs_btree_vs_vec_coff,BTree,2,,,15787866.0,ns,2414
hash_vs_btree_vs_vec_coff,BTree,2,,,16568538.0,ns,2556
hash_vs_btree_vs_vec_coff,BTree,2,,,17545927.0,ns,2698
hash_vs_btree_vs_vec_coff,BTree,2,,,19001835.0,ns,2840
hash_vs_btree_vs_vec_coff,BTree,2,,,19551941.0,ns,2982
hash_vs_btree_vs_vec_coff,BTree,2,,,21482844.0,ns,3124
hash_vs_btree_vs_vec_coff,BTree,2,,,22920035.0,ns,3266
hash_vs_btree_vs_vec_coff,BTree,2,,,24726107.0,ns,3408
hash_vs_btree_vs_vec_coff,BTree,2,,,23579234.0,ns,3550
hash_vs_btree_vs_vec_coff,BTree,2,,,24215317.0,ns,3692
hash_vs_btree_vs_vec_coff,BTree,2,,,26170434.0,ns,3834
hash_vs_btree_vs_vec_coff,BTree,2,,,26110033.0,ns,3976
hash_vs_btree_vs_vec_coff,BTree,2,,,27283196.0,ns,4118
hash_vs_btree_vs_vec_coff,BTree,2,,,28132862.0,ns,4260
hash_vs_btree_vs_vec_coff,BTree,2,,,30031319.0,ns,4402
hash_vs_btree_vs_vec_coff,BTree,2,,,30313558.0,ns,4544
hash_vs_btree_vs_vec_coff,BTree,2,,,30769652.0,ns,4686
hash_vs_btree_vs_vec_coff,BTree,2,,,32095151.0,ns,4828
hash_vs_btree_vs_vec_coff,BTree,2,,,35487493.0,ns,4970
hash_vs_btree_vs_vec_coff,BTree,2,,,33223324.0,ns,5112
hash_vs_btree_vs_vec_coff,BTree,2,,,33886050.0,ns,5254
hash_vs_btree_vs_vec_coff,BTree,2,,,35457729.0,ns,5396
hash_vs_btree_vs_vec_coff,BTree,2,,,35928143.0,ns,5538
hash_vs_btree_vs_vec_coff,BTree,2,,,37376278.0,ns,5680
hash_vs_btree_vs_vec_coff,BTree,2,,,38798416.0,ns,5822
hash_vs_btree_vs_vec_coff,BTree,2,,,39363251.0,ns,5964
hash_vs_btree_vs_vec_coff,BTree,2,,,40338785.0,ns,6106
hash_vs_btree_vs_vec_coff,BTree,2,,,41139887.0,ns,6248
hash_vs_btree_vs_vec_coff,BTree,2,,,41533254.0,ns,6390
hash_vs_btree_vs_vec_coff,BTree,2,,,42408650.0,ns,6532
hash_vs_btree_vs_vec_coff,BTree,2,,,44189274.0,ns,6674
hash_vs_btree_vs_vec_coff,BTree,2,,,44138166.0,ns,6816
hash_vs_btree_vs_vec_coff,BTree,2,,,46767120.0,ns,6958
hash_vs_btree_vs_vec_coff,BTree,2,,,46754192.0,ns,7100
hash_vs_btree_vs_vec_coff,BTree,2,,,48130522.0,ns,7242
hash_vs_btree_vs_vec_coff,BTree,2,,,48171900.0,ns,7384
hash_vs_btree_vs_vec_coff,BTree,2,,,49229271.0,ns,7526
hash_vs_btree_vs_vec_coff,BTree,2,,,50502014.0,ns,7668
hash_vs_btree_vs_vec_coff,BTree,2,,,50583672.0,ns,7810
hash_vs_btree_vs_vec_coff,BTree,2,,,51834392.0,ns,7952
hash_vs_btree_vs_vec_coff,BTree,2,,,57773994.0,ns,8094
hash_vs_btree_vs_vec_coff,BTree,2,,,63046509.0,ns,8236
hash_vs_btree_vs_vec_coff,BTree,2,,,60495175.0,ns,8378
hash_vs_btree_vs_vec_coff,BTree,2,,,55271735.0,ns,8520
hash_vs_btree_vs_vec_coff,BTree,2,,,57306583.0,ns,8662
hash_vs_btree_vs_vec_coff,BTree,2,,,58166733.0,ns,8804
hash_vs_btree_vs_vec_coff,BTree,2,,,59222930.0,ns,8946
hash_vs_btree_vs_vec_coff,BTree,2,,,59950248.0,ns,9088
hash_vs_btree_vs_vec_coff,BTree,2,,,59569482.0,ns,9230
hash_vs_btree_vs_vec_coff,BTree,2,,,61257543.0,ns,9372
hash_vs_btree_vs_vec_coff,BTree,2,,,62254953.0,ns,9514
hash_vs_btree_vs_vec_coff,BTree,2,,,66774955.0,ns,9656
hash_vs_btree_vs_vec_coff,BTree,2,,,64157382.0,ns,9798
hash_vs_btree_vs_vec_coff,BTree,2,,,64094945.0,ns,9940
hash_vs_btree_vs_vec_coff,BTree,2,,,65732522.0,ns,10082
hash_vs_btree_vs_vec_coff,BTree,2,,,67431787.0,ns,10224
hash_vs_btree_vs_vec_coff,BTree,2,,,68036316.0,ns,10366
hash_vs_btree_vs_vec_coff,BTree,2,,,68106936.0,ns,10508
hash_vs_btree_vs_vec_coff,BTree,2,,,70467147.0,ns,10650
hash_vs_btree_vs_vec_coff,BTree,2,,,70433352.0,ns,10792
hash_vs_btree_vs_vec_coff,BTree,2,,,75136122.0,ns,10934
hash_vs_btree_vs_vec_coff,BTree,2,,,72950878.0,ns,11076
hash_vs_btree_vs_vec_coff,BTree,2,,,71932820.0,ns,11218
hash_vs_btree_vs_vec_coff,BTree,2,,,76981814.0,ns,11360
hash_vs_btree_vs_vec_coff,BTree,2,,,81237171.0,ns,11502
hash_vs_btree_vs_vec_coff,BTree,2,,,75429118.0,ns,11644
hash_vs_btree_vs_vec_coff,BTree,2,,,77942830.0,ns,11786
hash_vs_btree_vs_vec_coff,BTree,2,,,77700057.0,ns,11928
hash_vs_btree_vs_vec_coff,BTree,2,,,79757039.0,ns,12070
hash_vs_btree_vs_vec_coff,BTree,2,,,81143405.0,ns,12212
hash_vs_btree_vs_vec_coff,BTree,2,,,81452113.0,ns,12354
