group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,BTree,5,,,1117477.0,ns,15
hash_vs_btree_vs_vec_coff,BTree,5,,,2033690.0,ns,30
hash_vs_btree_vs_vec_coff,BTree,5,,,3815926.0,ns,45
hash_vs_btree_vs_vec_coff,BTree,5,,,4119515.0,ns,60
hash_vs_btree_vs_vec_coff,BTree,5,,,5226913.0,ns,75
hash_vs_btree_vs_vec_coff,BTree,5,,,6378487.0,ns,90
hash_vs_btree_vs_vec_coff,BTree,5,,,6982165.0,ns,105
hash_vs_btree_vs_vec_coff,BTree,5,,,8395013.0,ns,120
hash_vs_btree_vs_vec_coff,BTree,5,,,8941815.0,ns,135
hash_vs_btree_vs_vec_coff,BTree,5,,,10654339.0,ns,150
hash_vs_btree_vs_vec_coff,BTree,5,,,11370033.0,ns,165
hash_vs_btree_vs_vec_coff,BTree,5,,,11963709.0,ns,180
hash_vs_btree_vs_vec_coff,BTree,5,,,13825479.0,ns,195
hash_vs_btree_vs_vec_coff,BTree,5,,,14661676.0,ns,210
hash_vs_btree_vs_vec_coff,BTree,5,,,15513176.0,ns,225
hash_vs_btree_vs_vec_coff,BTree,5,,,15342328.0,ns,240
hash_vs_btree_vs_vec_coff,BTree,5,,,16110312.0,ns,255
hash_vs_btree_vs_vec_coff,BTree,5,,,17081388.0,ns,270
hash_vs_btree_vs_vec_coff,BTree,5,,,18254022.0,ns,285
hash_vs_btree_vs_vec_coff,BTree,5,,,18636595.0,ns,300
hash_vs_btree_vs_vec_coff,BTree,5,,,20324253.0,ns,315
hash_vs_btree_vs_vec_coff,BTree,5,,,20521409.0,ns,330
hash_vs_btree_vs_vec_coff,BTree,5,,,21856101.0,ns,345
hash_vs_btree_vs_vec_coff,BTree,5,,,22580741.0,ns,360
hash_vs_btree_vs_vec_coff,BTree,5,,,23902224.0,ns,375
hash_vs_btree_vs_vec_coff,BTree,5,,,24965857.0,ns,390
hash_vs_btree_vs_vec_coff,BTree,5,,,25413972.0,ns,405
hash_vs_btree_vs_vec_coff,BTree,5,,,26650968.0,ns,420
hash_vs_btree_vs_vec_coff,BTree,5,,,27279655.0,ns,435
hash_vs_btree_vs_vec_coff,BTree,5,,,28604748.0,ns,450
hash_vs_btree_vs_vec_coff,BTree,5,,,29278811.0,ns,465
hash_vs_btree_vs_vec_coff,BTree,5,,,31308858.0,ns,480
hash_vs_btree_vs_vec_coff,BTree,5,,,32189368.0,ns,495
hash_vs_btree_vs_vec_coff,BTree,5,,,33913565.0,ns,510
hash_vs_btree_vs_vec_coff,BTree,5,,,35505111.0,ns,525
hash_vs_btree_vs_vec_coff,BTree,5,,,34002786.0,ns,540
hash_vs_btree_vs_vec_coff,BTree,5,,,35011341.0,ns,555
hash_vs_btree_vs_vec_coff,BTree,5,,,35737246.0,ns,570
hash_vs_btree_vs_vec_coff,BTree,5,,,36831194.0,ns,585
hash_vs_btree_vs_vec_coff,BTree,5,,,38591300.0,ns,600
hash_vs_btree_vs_vec_coff,BTree,5,,,41693705.0,ns,615
hash_vs_btree_vs_vec_coff,BTree,5,,,40899740.0,ns,630
hash_vs_btree_vs_vec_coff,BTree,5,,,40660041.0,ns,645
hash_vs_btree_vs_vec_coff,BTree,5,,,41567732.0,ns,660
hash_vs_btree_vs_vec_coff,BTree,5,,,42758654.0,ns,675
hash_vs_btree_vs_vec_coff,BTree,5,,,43311354.0,ns,690
hash_vs_btree_vs_vec_coff,BTree,5,,,44773629.0,ns,705
hash_vs_btree_vs_vec_coff,BTree,5,,,46871897.0,ns,720
hash_vs_btree_vs_vec_coff,BTree,5,,,46740822.0,ns,735
hash_vs_btree_vs_vec_coff,BTree,5,,,47229211.0,ns,750
hash_vs_btree_vs_vec_coff,BTree,5,,,47910315.0,ns,765
hash_vs_btree_vs_vec_coff,BTree,5,,,50301909.0,ns,780
hash_vs_btree_vs_vec_coff,BTree,5,,,50883846.0,ns,795
hash_vs_btree_vs_vec_coff,BTree,5,,,52130013.0,ns,810
hash_vs_btree_vs_vec_coff,BTree,5,,,51819784.0,ns,825
hash_vs_btree_vs_vec_coff,BTree,5,,,52822900.0,ns,840
hash_vs_btree_vs_vec_coff,BTree,5,,,54225794.0,ns,855
hash_vs_btree_vs_vec_coff,BTree,5,,,55398016.0,ns,870
hash_vs_btree_vs_vec_coff,BTree,5,,,55990824.0,ns,885
hash_vs_btree_vs_vec_coff,BTree,5,,,56425919.0,ns,900
hash_vs_btree_vs_vec_coff,BTree,5,,,57773353.0,ns,915
hash_vs_btree_vs_vec_coff,BTree,5,,,58471389.0,ns,930
hash_vs_btree_vs_vec_coff,BTree,5,,,59819355.0,ns,945
hash_vs_btree_vs_vec_coff,BTree,5,,,59942284.0,ns,960
hash_vs_btree_vs_vec_coff,BTree,5,,,61749882.0,ns,975
hash_vs_btree_vs_vec_coff,BTree,5,,,62210882.0,ns,990
hash_vs_btree_vs_vec_coff,BTree,5,,,63570657.0,ns,1005
hash_vs_btree_vs_vec_coff,BTree,5,,,64576837.0,ns,1020
hash_vs_btree_vs_vec_coff,BTree,5,,,67114083.0,ns,1035
hash_vs_btree_vs_vec_coff,BTree,5,,,68966825.0,ns,1050
hash_vs_btree_vs_vec_coff,BTree,5,,,69747166.0,ns,1065
hash_vs_btree_vs_vec_coff,BTree,5,,,68897493.0,ns,1080
hash_vs_btree_vs_vec_coff,BTree,5,,,71042666.0,ns,1095
hash_vs_btree_vs_vec_coff,BTree,5,,,69670796.0,ns,1110
hash_vs_btree_vs_vec_coff,BTree,5,,,71352729.0,ns,1125
hash_vs_btree_vs_vec_coff,BTree,5,,,72836063.0,ns,1140
hash_vs_btree_vs_vec_coff,BTree,5,,,72821175.0,ns,1155
hash_vs_btree_vs_vec_coff,BTree,5,,,73695504.0,ns,1170
hash_vs_btree_vs_vec_coff,BTree,5,,,74225287.0,ns,1185
hash_vs_btree_vs_vec_coff,BTree,5,,,82131933.0,ns,1200
hash_vs_btree_vs_vec_coff,BTree,5,,,78643915.0,ns,1215
hash_vs_btree_vs_vec_coff,BTree,5,,,77307467.0,ns,1230
hash_vs_btree_vs_vec_coff,BTree,5,,,79075855.0,ns,1245
hash_vs_btree_vs_vec_coff,BTree,5,,,79631361.0,ns,1260
hash_vs_btree_vs_vec_coff,BTree,5,,,80003973.0,ns,1275
hash_vs_btree_vs_vec_coff,BTree,5,,,83380811.0,ns,1290
hash_vs_btree_vs_vec_coff,BTree,5,,,82667057.0,ns,1305
hash_vs_btree_vs_vec_coff,BTree,5,,,82736798.0,ns,1320
hash_vs_btree_vs_vec_coff,BTree,5,,,86308788.0,ns,1335
hash_vs_btree_vs_vec_coff,BTree,5,,,86225869.0,ns,1350
hash_vs_btree_vs_vec_coff,BTree,5,,,94008161.0,ns,1365
hash_vs_btree_vs_vec_coff,BTree,5,,,90960709.0,ns,1380
hash_vs_btree_vs_vec_coff,BTree,5,,,88242437.0,ns,1395
hash_vs_btree_vs_vec_coff,BTree,5,,,90002310.0,ns,1410
hash_vs_btree_vs_vec_coff,BTree,5,,,100662680.0,ns,1425
hash_vs_btree_vs_vec_coff,BTree,5,,,97742767.0,ns,1440
hash_vs_btree_vs_vec_coff,BTree,5,,,101920819.0,ns,1455
hash_vs_btree_vs_vec_coff,BTree,5,,,112989691.0,ns,1470
hash_vs_btree_vs_vec_coff,BTree,5,,,109458704.0,ns,1485
hash_vs_btree_vs_vec_coff,BTree,5,,,119340078.0,ns,1500
