group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,Hash,4,,,899116.0,ns,20
hash_vs_btree_vs_vec_coff,Hash,4,,,1857622.0,ns,40
hash_vs_btree_vs_vec_coff,Hash,4,,,3072645.0,ns,60
hash_vs_btree_vs_vec_coff,Hash,4,,,4061670.0,ns,80
hash_vs_btree_vs_vec_coff,Hash,4,,,4756744.0,ns,100
hash_vs_btree_vs_vec_coff,Hash,4,,,5649939.0,ns,120
hash_vs_btree_vs_vec_coff,Hash,4,,,6747449.0,ns,140
hash_vs_btree_vs_vec_coff,Hash,4,,,8150789.0,ns,160
hash_vs_btree_vs_vec_coff,Hash,4,,,9179060.0,ns,180
hash_vs_btree_vs_vec_coff,Hash,4,,,10320987.0,ns,200
hash_vs_btree_vs_vec_coff,Hash,4,,,10693233.0,ns,220
hash_vs_btree_vs_vec_coff,Hash,4,,,11875357.0,ns,240
hash_vs_btree_vs_vec_coff,Hash,4,,,12550520.0,ns,260
hash_vs_btree_vs_vec_coff,Hash,4,,,14475615.0,ns,280
hash_vs_btree_vs_vec_coff,Hash,4,,,13937928.0,ns,300
hash_vs_btree_vs_vec_coff,Hash,4,,,14364086.0,ns,320
hash_vs_btree_vs_vec_coff,Hash,4,,,15551581.0,ns,340
hash_vs_btree_vs_vec_coff,Hash,4,,,16412410.0,ns,360
hash_vs_btree_vs_vec_coff,Hash,4,,,17319041.0,ns,380
hash_vs_btree_vs_vec_coff,Hash,4,,,18398581.0,ns,400
hash_vs_btree_vs_vec_coff,Hash,4,,,19032040.0,ns,420
hash_vs_btree_vs_vec_coff,Hash,4,,,20189804.0,ns,440
hash_vs_btree_vs_vec_coff,Hash,4,,,20811919.0,ns,460
hash_vs_btree_vs_vec_coff,Hash,4,,,21947669.0,ns,480
hash_vs_btree_vs_vec_coff,Hash,4,,,22760381.0,ns,500
hash_vs_btree_vs_vec_coff,Hash,4,,,23683706.0,ns,520
hash_vs_btree_vs_vec_coff,Hash,4,,,24855844.0,ns,540
hash_vs_btree_vs_vec_coff,Hash,4,,,25516792.0,ns,560
hash_vs_btree_vs_vec_coff,Hash,4,,,26793914.0,ns,580
hash_vs_btree_vs_vec_coff,Hash,4,,,28030756.0,ns,600
hash_vs_btree_vs_vec_coff,Hash,4,,,28813304.0,ns,620
hash_vs_btree_vs_vec_coff,Hash,4,,,31814929.0,ns,640
hash_vs_btree_vs_vec_coff,Hash,4,,,30636128.0,ns,660
hash_vs_btree_vs_vec_coff,Hash,4,,,31106214.0,ns,680
hash_vs_btree_vs_vec_coff,Hash,4,,,32065686.0,ns,700
hash_vs_btree_vs_vec_coff,Hash,4,,,32819220.0,ns,720
hash_vs_btree_vs_vec_coff,Hash,4,,,33790400.0,ns,740
hash_vs_btree_vs_vec_coff,Hash,4,,,34629160.0,ns,760
hash_vs_btree_vs_vec_coff,Hash,4,,,36781943.0,ns,780
hash_vs_btree_vs_vec_coff,Hash,4,,,37324224.0,ns,800
hash_vs_btree_vs_vec_coff,Hash,4,,,37134432.0,ns,820
hash_vs_btree_vs_vec_coff,Hash,4,,,38174040.0,ns,840
hash_vs_btree_vs_vec_coff,Hash,4,,,39821815.0,ns,860
hash_vs_btree_vs_vec_coff,Hash,4,,,40069267.0,ns,880
hash_vs_btree_vs_vec_coff,Hash,4,,,42470213.0,ns,900
hash_vs_btree_vs_vec_coff,Hash,4,,,43074755.0,ns,920
hash_vs_btree_vs_vec_coff,Hash,4,,,43036540.0,ns,940
hash_vs_btree_vs_vec_coff,Hash,4,,,43865772.0,ns,960
