group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,Hash,5,,,1991653.0,ns,12
hash_vs_btree_vs_vec_coff,Hash,5,,,4109351.0,ns,24
hash_vs_btree_vs_vec_coff,Hash,5,,,3787812.0,ns,36
hash_vs_btree_vs_vec_coff,Hash,5,,,5859849.0,ns,48
hash_vs_btree_vs_vec_coff,Hash,5,,,5893061.0,ns,60
hash_vs_btree_vs_vec_coff,Hash,5,,,7163817.0,ns,72
hash_vs_btree_vs_vec_coff,Hash,5,,,8935865.0,ns,84
hash_vs_btree_vs_vec_coff,Hash,5,,,8966630.0,ns,96
hash_vs_btree_vs_vec_coff,Hash,5,,,10495538.0,ns,108
hash_vs_btree_vs_vec_coff,Hash,5,,,11673895.0,ns,120
hash_vs_btree_vs_vec_coff,Hash,5,,,11464590.0,ns,132
hash_vs_btree_vs_vec_coff,Hash,5,,,12151414.0,ns,144
hash_vs_btree_vs_vec_coff,Hash,5,,,13132579.0,ns,156
hash_vs_btree_vs_vec_coff,Hash,5,,,13877550.0,ns,168
hash_vs_btree_vs_vec_coff,Hash,5,,,14766369.0,ns,180
hash_vs_btree_vs_vec_coff,Hash,5,,,16154689.0,ns,192
hash_vs_btree_vs_vec_coff,Hash,5,,,17992792.0,ns,204
hash_vs_btree_vs_vec_coff,Hash,5,,,17925293.0,ns,216
hash_vs_btree_vs_vec_coff,Hash,5,,,19438567.0,ns,228
hash_vs_btree_vs_vec_coff,Hash,5,,,20029039.0,ns,240
hash_vs_btree_vs_vec_coff,Hash,5,,,20984936.0,ns,252
hash_vs_btree_vs_vec_coff,Hash,5,,,21961906.0,ns,264
hash_vs_btree_vs_vec_coff,Hash,5,,,23101203.0,ns,276
hash_vs_btree_vs_vec_coff,Hash,5,,,23953320.0,ns,288
hash_vs_btree_vs_vec_coff,Hash,5,,,24618906.0,ns,300
hash_vs_btree_vs_vec_coff,Hash,5,,,28218140.0,ns,312
