group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,Naive,2,,,17393462.0,ns,5070
hash_vs_btree_vs_vec_coff,Naive,2,,,37260520.0,ns,10140
hash_vs_btree_vs_vec_coff,Naive,2,,,67891977.0,ns,15210
hash_vs_btree_vs_vec_coff,Naive,2,,,83169001.0,ns,20280
hash_vs_btree_vs_vec_coff,Naive,2,,,103784757.0,ns,25350
hash_vs_btree_vs_vec_coff,Naive,2,,,123731664.0,ns,30420
hash_vs_btree_vs_vec_coff,Naive,2,,,147259626.0,ns,35490
hash_vs_btree_vs_vec_coff,Naive,2,,,150038944.0,ns,40560
hash_vs_btree_vs_vec_coff,Naive,2,,,155305881.0,ns,45630
hash_vs_btree_vs_vec_coff,Naive,2,,,169575947.0,ns,50700
