group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,Support BTree,2,,,19204536.0,ns,2313
hash_vs_btree_vs_vec_coff,Support BTree,2,,,43684095.0,ns,4626
hash_vs_btree_vs_vec_coff,Support BTree,2,,,53968559.0,ns,6939
hash_vs_btree_vs_vec_coff,Support BTree,2,,,70765150.0,ns,9252
hash_vs_btree_vs_vec_coff,Support BTree,2,,,88145093.0,ns,11565
hash_vs_btree_vs_vec_coff,Support BTree,2,,,108825446.0,ns,13878
hash_vs_btree_vs_vec_coff,Support BTree,2,,,122857726.0,ns,16191
hash_vs_btree_vs_vec_coff,Support BTree,2,,,169413426.0,ns,18504
hash_vs_btree_vs_vec_coff,Support BTree,2,,,190467425.0,ns,20817
hash_vs_btree_vs_vec_coff,Support BTree,2,,,216763971.0,ns,23130
