group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,Support BTree,4,,,18348809.0,ns,163
hash_vs_btree_vs_vec_coff,Support BTree,4,,,34972912.0,ns,326
hash_vs_btree_vs_vec_coff,Support BTree,4,,,46769067.0,ns,489
hash_vs_btree_vs_vec_coff,Support BTree,4,,,58004973.0,ns,652
hash_vs_btree_vs_vec_coff,Support BTree,4,,,72185152.0,ns,815
hash_vs_btree_vs_vec_coff,Support BTree,4,,,89851447.0,ns,978
hash_vs_btree_vs_vec_coff,Support BTree,4,,,103142345.0,ns,1141
hash_vs_btree_vs_vec_coff,Support BTree,4,,,121840921.0,ns,1304
hash_vs_btree_vs_vec_coff,Support BTree,4,,,132383908.0,ns,1467
hash_vs_btree_vs_vec_coff,Support BTree,4,,,146463907.0,ns,1630
