group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,Support Hash,6,,,16441854.0,ns,13
hash_vs_btree_vs_vec_coff,Support Hash,6,,,31399381.0,ns,26
hash_vs_btree_vs_vec_coff,Support Hash,6,,,47964666.0,ns,39
hash_vs_btree_vs_vec_coff,Support Hash,6,,,63329013.0,ns,52
hash_vs_btree_vs_vec_coff,Support Hash,6,,,77343387.0,ns,65
hash_vs_btree_vs_vec_coff,Support Hash,6,,,92460359.0,ns,78
hash_vs_btree_vs_vec_coff,Support Hash,6,,,112243759.0,ns,91
hash_vs_btree_vs_vec_coff,Support Hash,6,,,126526733.0,ns,104
hash_vs_btree_vs_vec_coff,Support Hash,6,,,143315119.0,ns,117
hash_vs_btree_vs_vec_coff,Support Hash,6,,,159025934.0,ns,130
