group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,Support Vec,4,,,17936683.0,ns,277
hash_vs_btree_vs_vec_coff,Support Vec,4,,,34363497.0,ns,554
hash_vs_btree_vs_vec_coff,Support Vec,4,,,44626251.0,ns,831
hash_vs_btree_vs_vec_coff,Support Vec,4,,,57364225.0,ns,1108
hash_vs_btree_vs_vec_coff,Support Vec,4,,,71133561.0,ns,1385
hash_vs_btree_vs_vec_coff,Support Vec,4,,,86459319.0,ns,1662
hash_vs_btree_vs_vec_coff,Support Vec,4,,,99845333.0,ns,1939
hash_vs_btree_vs_vec_coff,Support Vec,4,,,119464918.0,ns,2216
hash_vs_btree_vs_vec_coff,Support Vec,4,,,131309433.0,ns,2493
hash_vs_btree_vs_vec_coff,Support Vec,4,,,146649805.0,ns,2770
