group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash_vs_btree_vs_vec_coff,Vec,3,,,995314.0,ns,60
hash_vs_btree_vs_vec_coff,Vec,3,,,2068888.0,ns,120
hash_vs_btree_vs_vec_coff,Vec,3,,,3140312.0,ns,180
hash_vs_btree_vs_vec_coff,Vec,3,,,3804487.0,ns,240
hash_vs_btree_vs_vec_coff,Vec,3,,,4741010.0,ns,300
hash_vs_btree_vs_vec_coff,Vec,3,,,5806948.0,ns,360
hash_vs_btree_vs_vec_coff,Vec,3,,,6971817.0,ns,420
hash_vs_btree_vs_vec_coff,Vec,3,,,7840123.0,ns,480
hash_vs_btree_vs_vec_coff,Vec,3,,,9165728.0,ns,540
hash_vs_btree_vs_vec_coff,Vec,3,,,10615636.0,ns,600
hash_vs_btree_vs_vec_coff,Vec,3,,,10637757.0,ns,660
hash_vs_btree_vs_vec_coff,Vec,3,,,12157792.0,ns,720
hash_vs_btree_vs_vec_coff,Vec,3,,,12541376.0,ns,780
hash_vs_btree_vs_vec_coff,Vec,3,,,13455324.0,ns,840
hash_vs_btree_vs_vec_coff,Vec,3,,,14241106.0,ns,900
hash_vs_btree_vs_vec_coff,Vec,3,,,14788495.0,ns,960
hash_vs_btree_vs_vec_coff,Vec,3,,,15751512.0,ns,1020
hash_vs_btree_vs_vec_coff,Vec,3,,,17090505.0,ns,1080
hash_vs_btree_vs_vec_coff,Vec,3,,,17759419.0,ns,1140
hash_vs_btree_vs_vec_coff,Vec,3,,,19009582.0,ns,1200
hash_vs_btree_vs_vec_coff,Vec,3,,,19758243.0,ns,1260
hash_vs_btree_vs_vec_coff,Vec,3,,,20711782.0,ns,1320
hash_vs_btree_vs_vec_coff,Vec,3,,,21537328.0,ns,1380
hash_vs_btree_vs_vec_coff,Vec,3,,,22847318.0,ns,1440
hash_vs_btree_vs_vec_coff,Vec,3,,,23494873.0,ns,1500
hash_vs_btree_vs_vec_coff,Vec,3,,,24810755.0,ns,1560
hash_vs_btree_vs_vec_coff,Vec,3,,,25355759.0,ns,1620
hash_vs_btree_vs_vec_coff,Vec,3,,,26269599.0,ns,1680
hash_vs_btree_vs_vec_coff,Vec,3,,,27412729.0,ns,1740
hash_vs_btree_vs_vec_coff,Vec,3,,,28162504.0,ns,1800
hash_vs_btree_vs_vec_coff,Vec,3,,,29160280.0,ns,1860
hash_vs_btree_vs_vec_coff,Vec,3,,,30232053.0,ns,1920
hash_vs_btree_vs_vec_coff,Vec,3,,,31624183.0,ns,1980
hash_vs_btree_vs_vec_coff,Vec,3,,,31949276.0,ns,2040
hash_vs_btree_vs_vec_coff,Vec,3,,,33126096.0,ns,2100
hash_vs_btree_vs_vec_coff,Vec,3,,,33941289.0,ns,2160
hash_vs_btree_vs_vec_coff,Vec,3,,,35072568.0,ns,2220
hash_vs_btree_vs_vec_coff,Vec,3,,,35520504.0,ns,2280
hash_vs_btree_vs_vec_coff,Vec,3,,,36488674.0,ns,2340
hash_vs_btree_vs_vec_coff,Vec,3,,,39301102.0,ns,2400
hash_vs_btree_vs_vec_coff,Vec,3,,,38582328.0,ns,2460
hash_vs_btree_vs_vec_coff,Vec,3,,,39794534.0,ns,2520
hash_vs_btree_vs_vec_coff,Vec,3,,,40463680.0,ns,2580
hash_vs_btree_vs_vec_coff,Vec,3,,,43126975.0,ns,2640
hash_vs_btree_vs_vec_coff,Vec,3,,,42239318.0,ns,2700
hash_vs_btree_vs_vec_coff,Vec,3,,,43077282.0,ns,2760
hash_vs_btree_vs_vec_coff,Vec,3,,,44831563.0,ns,2820
hash_vs_btree_vs_vec_coff,Vec,3,,,48429666.0,ns,2880
hash_vs_btree_vs_vec_coff,Vec,3,,,45860490.0,ns,2940
hash_vs_btree_vs_vec_coff,Vec,3,,,47361975.0,ns,3000
hash_vs_btree_vs_vec_coff,Vec,3,,,48015501.0,ns,3060
hash_vs_btree_vs_vec_coff,Vec,3,,,49018242.0,ns,3120
hash_vs_btree_vs_vec_coff,Vec,3,,,49740197.0,ns,3180
hash_vs_btree_vs_vec_coff,Vec,3,,,51915530.0,ns,3240
hash_vs_btree_vs_vec_coff,Vec,3,,,53952513.0,ns,3300
hash_vs_btree_vs_vec_coff,Vec,3,,,52508437.0,ns,3360
hash_vs_btree_vs_vec_coff,Vec,3,,,53628050.0,ns,3420
hash_vs_btree_vs_vec_coff,Vec,3,,,55692964.0,ns,3480
hash_vs_btree_vs_vec_coff,Vec,3,,,57376833.0,ns,3540
hash_vs_btree_vs_vec_coff,Vec,3,,,56120169.0,ns,3600
hash_vs_btree_vs_vec_coff,Vec,3,,,57646673.0,ns,3660
hash_vs_btree_vs_vec_coff,Vec,3,,,59091175.0,ns,3720
hash_vs_btree_vs_vec_coff,Vec,3,,,60107612.0,ns,3780
hash_vs_btree_vs_vec_coff,Vec,3,,,60523613.0,ns,3840
hash_vs_btree_vs_vec_coff,Vec,3,,,60764711.0,ns,3900
hash_vs_btree_vs_vec_coff,Vec,3,,,62203701.0,ns,3960
hash_vs_btree_vs_vec_coff,Vec,3,,,63163812.0,ns,4020
hash_vs_btree_vs_vec_coff,Vec,3,,,64817803.0,ns,4080
hash_vs_btree_vs_vec_coff,Vec,3,,,77564481.0,ns,4140
hash_vs_btree_vs_vec_coff,Vec,3,,,79547557.0,ns,4200
hash_vs_btree_vs_vec_coff,Vec,3,,,78916035.0,ns,4260
hash_vs_btree_vs_vec_coff,Vec,3,,,80245459.0,ns,4320
hash_vs_btree_vs_vec_coff,Vec,3,,,78422329.0,ns,4380
hash_vs_btree_vs_vec_coff,Vec,3,,,71477200.0,ns,4440
hash_vs_btree_vs_vec_coff,Vec,3,,,71850931.0,ns,4500
hash_vs_btree_vs_vec_coff,Vec,3,,,73278867.0,ns,4560
hash_vs_btree_vs_vec_coff,Vec,3,,,75918669.0,ns,4620
hash_vs_btree_vs_vec_coff,Vec,3,,,74697724.0,ns,4680
hash_vs_btree_vs_vec_coff,Vec,3,,,81708329.0,ns,4740
hash_vs_btree_vs_vec_coff,Vec,3,,,83311621.0,ns,4800
hash_vs_btree_vs_vec_coff,Vec,3,,,76882648.0,ns,4860
hash_vs_btree_vs_vec_coff,Vec,3,,,78265604.0,ns,4920
hash_vs_btree_vs_vec_coff,Vec,3,,,78285277.0,ns,4980
hash_vs_btree_vs_vec_coff,Vec,3,,,79972881.0,ns,5040
hash_vs_btree_vs_vec_coff,Vec,3,,,80514277.0,ns,5100
hash_vs_btree_vs_vec_coff,Vec,3,,,84380218.0,ns,5160
hash_vs_btree_vs_vec_coff,Vec,3,,,86527263.0,ns,5220
hash_vs_btree_vs_vec_coff,Vec,3,,,83717882.0,ns,5280
hash_vs_btree_vs_vec_coff,Vec,3,,,87030851.0,ns,5340
hash_vs_btree_vs_vec_coff,Vec,3,,,88753527.0,ns,5400
hash_vs_btree_vs_vec_coff,Vec,3,,,88369445.0,ns,5460
