group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_bdd_comparator,Degenerate order,2,,,1817742.0,ns,223
naive_bdd_comparator,Degenerate order,2,,,1948325.0,ns,446
naive_bdd_comparator,Degenerate order,2,,,2690659.0,ns,669
naive_bdd_comparator,Degenerate order,2,,,3662803.0,ns,892
naive_bdd_comparator,Degenerate order,2,,,4420092.0,ns,1115
naive_bdd_comparator,Degenerate order,2,,,5307772.0,ns,1338
naive_bdd_comparator,Degenerate order,2,,,6184184.0,ns,1561
naive_bdd_comparator,Degenerate order,2,,,7283619.0,ns,1784
naive_bdd_comparator,Degenerate order,2,,,9330331.0,ns,2007
naive_bdd_comparator,Degenerate order,2,,,10283803.0,ns,2230
naive_bdd_comparator,Degenerate order,2,,,10337231.0,ns,2453
naive_bdd_comparator,Degenerate order,2,,,11590508.0,ns,2676
naive_bdd_comparator,Degenerate order,2,,,11916770.0,ns,2899
naive_bdd_comparator,Degenerate order,2,,,12678342.0,ns,3122
naive_bdd_comparator,Degenerate order,2,,,13616756.0,ns,3345
naive_bdd_comparator,Degenerate order,2,,,14411661.0,ns,3568
naive_bdd_comparator,Degenerate order,2,,,15456252.0,ns,3791
naive_bdd_comparator,Degenerate order,2,,,16262140.0,ns,4014
naive_bdd_comparator,Degenerate order,2,,,17446854.0,ns,4237
naive_bdd_comparator,Degenerate order,2,,,18072908.0,ns,4460
naive_bdd_comparator,Degenerate order,2,,,19434962.0,ns,4683
naive_bdd_comparator,Degenerate order,2,,,20571772.0,ns,4906
naive_bdd_comparator,Degenerate order,2,,,20986280.0,ns,5129
naive_bdd_comparator,Degenerate order,2,,,21838481.0,ns,5352
naive_bdd_comparator,Degenerate order,2,,,22754163.0,ns,5575
naive_bdd_comparator,Degenerate order,2,,,23351939.0,ns,5798
naive_bdd_comparator,Degenerate order,2,,,23843292.0,ns,6021
naive_bdd_comparator,Degenerate order,2,,,25073095.0,ns,6244
naive_bdd_comparator,Degenerate order,2,,,26207950.0,ns,6467
naive_bdd_comparator,Degenerate order,2,,,26627454.0,ns,6690
naive_bdd_comparator,Degenerate order,2,,,25455001.0,ns,6913
naive_bdd_comparator,Degenerate order,2,,,28909831.0,ns,7136
naive_bdd_comparator,Degenerate order,2,,,27391673.0,ns,7359
naive_bdd_comparator,Degenerate order,2,,,28032260.0,ns,7582
naive_bdd_comparator,Degenerate order,2,,,31747358.0,ns,7805
naive_bdd_comparator,Degenerate order,2,,,32169500.0,ns,8028
naive_bdd_comparator,Degenerate order,2,,,32999470.0,ns,8251
naive_bdd_comparator,Degenerate order,2,,,34982261.0,ns,8474
naive_bdd_comparator,Degenerate order,2,,,35312606.0,ns,8697
naive_bdd_comparator,Degenerate order,2,,,37742039.0,ns,8920
naive_bdd_comparator,Degenerate order,2,,,39349904.0,ns,9143
