group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_bdd_comparator,Degenerate order,5,,,1689117.0,ns,9
naive_bdd_comparator,Degenerate order,5,,,2245518.0,ns,18
naive_bdd_comparator,Degenerate order,5,,,3145765.0,ns,27
naive_bdd_comparator,Degenerate order,5,,,4032728.0,ns,36
naive_bdd_comparator,Degenerate order,5,,,4975338.0,ns,45
naive_bdd_comparator,Degenerate order,5,,,6245843.0,ns,54
naive_bdd_comparator,Degenerate order,5,,,6574296.0,ns,63
naive_bdd_comparator,Degenerate order,5,,,8496846.0,ns,72
naive_bdd_comparator,Degenerate order,5,,,8738493.0,ns,81
naive_bdd_comparator,Degenerate order,5,,,9472938.0,ns,90
naive_bdd_comparator,Degenerate order,5,,,10185423.0,ns,99
naive_bdd_comparator,Degenerate order,5,,,11728964.0,ns,108
naive_bdd_comparator,Degenerate order,5,,,13586283.0,ns,117
naive_bdd_comparator,Degenerate order,5,,,13392281.0,ns,126
naive_bdd_comparator,Degenerate order,5,,,14664747.0,ns,135
naive_bdd_comparator,Degenerate order,5,,,15453373.0,ns,144
naive_bdd_comparator,Degenerate order,5,,,16751844.0,ns,153
naive_bdd_comparator,Degenerate order,5,,,17719229.0,ns,162
naive_bdd_comparator,Degenerate order,5,,,18984738.0,ns,171
naive_bdd_comparator,Degenerate order,5,,,20161782.0,ns,180
naive_bdd_comparator,Degenerate order,5,,,20807245.0,ns,189
naive_bdd_comparator,Degenerate order,5,,,22399663.0,ns,198
naive_bdd_comparator,Degenerate order,5,,,22632382.0,ns,207
naive_bdd_comparator,Degenerate order,5,,,22710317.0,ns,216
naive_bdd_comparator,Degenerate order,5,,,22833389.0,ns,225
naive_bdd_comparator,Degenerate order,5,,,25799298.0,ns,234
naive_bdd_comparator,Degenerate order,5,,,24350313.0,ns,243
naive_bdd_comparator,Degenerate order,5,,,25474900.0,ns,252
naive_bdd_comparator,Degenerate order,5,,,29077234.0,ns,261
naive_bdd_comparator,Degenerate order,5,,,29916800.0,ns,270
naive_bdd_comparator,Degenerate order,5,,,31382297.0,ns,279
naive_bdd_comparator,Degenerate order,5,,,31970681.0,ns,288
naive_bdd_comparator,Degenerate order,5,,,33088772.0,ns,297
naive_bdd_comparator,Degenerate order,5,,,35444352.0,ns,306
naive_bdd_comparator,Degenerate order,5,,,34438122.0,ns,315
naive_bdd_comparator,Degenerate order,5,,,37133929.0,ns,324
naive_bdd_comparator,Degenerate order,5,,,37562601.0,ns,333
naive_bdd_comparator,Degenerate order,5,,,37518816.0,ns,342
naive_bdd_comparator,Degenerate order,5,,,36511352.0,ns,351
naive_bdd_comparator,Degenerate order,5,,,37496806.0,ns,360
naive_bdd_comparator,Degenerate order,5,,,40654321.0,ns,369
naive_bdd_comparator,Degenerate order,5,,,41508043.0,ns,378
naive_bdd_comparator,Degenerate order,5,,,43044849.0,ns,387
naive_bdd_comparator,Degenerate order,5,,,43138069.0,ns,396
naive_bdd_comparator,Degenerate order,5,,,43217702.0,ns,405
naive_bdd_comparator,Degenerate order,5,,,42804911.0,ns,414
naive_bdd_comparator,Degenerate order,5,,,46098137.0,ns,423
naive_bdd_comparator,Degenerate order,5,,,45800146.0,ns,432
naive_bdd_comparator,Degenerate order,5,,,47077827.0,ns,441
naive_bdd_comparator,Degenerate order,5,,,49000900.0,ns,450
naive_bdd_comparator,Degenerate order,5,,,50897651.0,ns,459
naive_bdd_comparator,Degenerate order,5,,,51988491.0,ns,468
naive_bdd_comparator,Degenerate order,5,,,50968428.0,ns,477
naive_bdd_comparator,Degenerate order,5,,,52443898.0,ns,486
naive_bdd_comparator,Degenerate order,5,,,55861549.0,ns,495
naive_bdd_comparator,Degenerate order,5,,,53538189.0,ns,504
naive_bdd_comparator,Degenerate order,5,,,56678032.0,ns,513
naive_bdd_comparator,Degenerate order,5,,,57085046.0,ns,522
naive_bdd_comparator,Degenerate order,5,,,58763992.0,ns,531
naive_bdd_comparator,Degenerate order,5,,,58540859.0,ns,540
naive_bdd_comparator,Degenerate order,5,,,59054399.0,ns,549
naive_bdd_comparator,Degenerate order,5,,,58521935.0,ns,558
naive_bdd_comparator,Degenerate order,5,,,58835803.0,ns,567
naive_bdd_comparator,Degenerate order,5,,,61594835.0,ns,576
naive_bdd_comparator,Degenerate order,5,,,62604368.0,ns,585
naive_bdd_comparator,Degenerate order,5,,,69167021.0,ns,594
naive_bdd_comparator,Degenerate order,5,,,64658439.0,ns,603
naive_bdd_comparator,Degenerate order,5,,,64612375.0,ns,612
naive_bdd_comparator,Degenerate order,5,,,66050900.0,ns,621
naive_bdd_comparator,Degenerate order,5,,,68507314.0,ns,630
naive_bdd_comparator,Degenerate order,5,,,69752015.0,ns,639
naive_bdd_comparator,Degenerate order,5,,,68412721.0,ns,648
naive_bdd_comparator,Degenerate order,5,,,71581819.0,ns,657
naive_bdd_comparator,Degenerate order,5,,,71679791.0,ns,666
naive_bdd_comparator,Degenerate order,5,,,70887346.0,ns,675
naive_bdd_comparator,Degenerate order,5,,,72772518.0,ns,684
naive_bdd_comparator,Degenerate order,5,,,74536571.0,ns,693
naive_bdd_comparator,Degenerate order,5,,,76186079.0,ns,702
naive_bdd_comparator,Degenerate order,5,,,77851158.0,ns,711
naive_bdd_comparator,Degenerate order,5,,,76029456.0,ns,720
naive_bdd_comparator,Degenerate order,5,,,77906037.0,ns,729
naive_bdd_comparator,Degenerate order,5,,,79021363.0,ns,738
naive_bdd_comparator,Degenerate order,5,,,82261781.0,ns,747
naive_bdd_comparator,Degenerate order,5,,,79645385.0,ns,756
naive_bdd_comparator,Degenerate order,5,,,77269779.0,ns,765
naive_bdd_comparator,Degenerate order,5,,,83154736.0,ns,774
naive_bdd_comparator,Degenerate order,5,,,84821013.0,ns,783
naive_bdd_comparator,Degenerate order,5,,,92135810.0,ns,792
naive_bdd_comparator,Degenerate order,5,,,87130459.0,ns,801
naive_bdd_comparator,Degenerate order,5,,,89070935.0,ns,810
naive_bdd_comparator,Degenerate order,5,,,83393883.0,ns,819
naive_bdd_comparator,Degenerate order,5,,,87121861.0,ns,828
naive_bdd_comparator,Degenerate order,5,,,90301584.0,ns,837
naive_bdd_comparator,Degenerate order,5,,,91028469.0,ns,846
naive_bdd_comparator,Degenerate order,5,,,90689610.0,ns,855
naive_bdd_comparator,Degenerate order,5,,,87640125.0,ns,864
naive_bdd_comparator,Degenerate order,5,,,89725060.0,ns,873
naive_bdd_comparator,Degenerate order,5,,,93475352.0,ns,882
naive_bdd_comparator,Degenerate order,5,,,95736789.0,ns,891
naive_bdd_comparator,Degenerate order,5,,,90261770.0,ns,900
