group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_bdd_comparator,Efficient order,3,,,1744625.0,ns,108
naive_bdd_comparator,Efficient order,3,,,2175790.0,ns,216
naive_bdd_comparator,Efficient order,3,,,2786895.0,ns,324
naive_bdd_comparator,Efficient order,3,,,4475577.0,ns,432
naive_bdd_comparator,Efficient order,3,,,4691188.0,ns,540
naive_bdd_comparator,Efficient order,3,,,6071589.0,ns,648
naive_bdd_comparator,Efficient order,3,,,7051540.0,ns,756
naive_bdd_comparator,Efficient order,3,,,7616422.0,ns,864
naive_bdd_comparator,Efficient order,3,,,8667071.0,ns,972
naive_bdd_comparator,Efficient order,3,,,9670224.0,ns,1080
naive_bdd_comparator,Efficient order,3,,,10557802.0,ns,1188
naive_bdd_comparator,Efficient order,3,,,11344342.0,ns,1296
naive_bdd_comparator,Efficient order,3,,,12642791.0,ns,1404
naive_bdd_comparator,Efficient order,3,,,13215698.0,ns,1512
naive_bdd_comparator,Efficient order,3,,,14152319.0,ns,1620
naive_bdd_comparator,Efficient order,3,,,15505724.0,ns,1728
naive_bdd_comparator,Efficient order,3,,,15949439.0,ns,1836
naive_bdd_comparator,Efficient order,3,,,17284382.0,ns,1944
naive_bdd_comparator,Efficient order,3,,,18222699.0,ns,2052
naive_bdd_comparator,Efficient order,3,,,18894071.0,ns,2160
naive_bdd_comparator,Efficient order,3,,,19856149.0,ns,2268
naive_bdd_comparator,Efficient order,3,,,20968243.0,ns,2376
naive_bdd_comparator,Efficient order,3,,,22519740.0,ns,2484
naive_bdd_comparator,Efficient order,3,,,22836025.0,ns,2592
naive_bdd_comparator,Efficient order,3,,,23855533.0,ns,2700
naive_bdd_comparator,Efficient order,3,,,24080221.0,ns,2808
naive_bdd_comparator,Efficient order,3,,,25926801.0,ns,2916
naive_bdd_comparator,Efficient order,3,,,26979091.0,ns,3024
naive_bdd_comparator,Efficient order,3,,,28687495.0,ns,3132
naive_bdd_comparator,Efficient order,3,,,28338454.0,ns,3240
naive_bdd_comparator,Efficient order,3,,,29199167.0,ns,3348
naive_bdd_comparator,Efficient order,3,,,29825642.0,ns,3456
naive_bdd_comparator,Efficient order,3,,,32109480.0,ns,3564
naive_bdd_comparator,Efficient order,3,,,33145693.0,ns,3672
naive_bdd_comparator,Efficient order,3,,,32839893.0,ns,3780
naive_bdd_comparator,Efficient order,3,,,34600988.0,ns,3888
naive_bdd_comparator,Efficient order,3,,,34863146.0,ns,3996
naive_bdd_comparator,Efficient order,3,,,35690233.0,ns,4104
naive_bdd_comparator,Efficient order,3,,,36570703.0,ns,4212
naive_bdd_comparator,Efficient order,3,,,37576227.0,ns,4320
naive_bdd_comparator,Efficient order,3,,,38305192.0,ns,4428
naive_bdd_comparator,Efficient order,3,,,39338819.0,ns,4536
naive_bdd_comparator,Efficient order,3,,,40740449.0,ns,4644
naive_bdd_comparator,Efficient order,3,,,43928262.0,ns,4752
naive_bdd_comparator,Efficient order,3,,,43883231.0,ns,4860
naive_bdd_comparator,Efficient order,3,,,43911747.0,ns,4968
naive_bdd_comparator,Efficient order,3,,,44618973.0,ns,5076
naive_bdd_comparator,Efficient order,3,,,44781259.0,ns,5184
naive_bdd_comparator,Efficient order,3,,,46152412.0,ns,5292
naive_bdd_comparator,Efficient order,3,,,47433234.0,ns,5400
naive_bdd_comparator,Efficient order,3,,,47127375.0,ns,5508
naive_bdd_comparator,Efficient order,3,,,48083235.0,ns,5616
naive_bdd_comparator,Efficient order,3,,,49379583.0,ns,5724
naive_bdd_comparator,Efficient order,3,,,51670443.0,ns,5832
naive_bdd_comparator,Efficient order,3,,,51012903.0,ns,5940
naive_bdd_comparator,Efficient order,3,,,53185781.0,ns,6048
naive_bdd_comparator,Efficient order,3,,,56428472.0,ns,6156
naive_bdd_comparator,Efficient order,3,,,56324941.0,ns,6264
naive_bdd_comparator,Efficient order,3,,,57146352.0,ns,6372
naive_bdd_comparator,Efficient order,3,,,56923990.0,ns,6480
naive_bdd_comparator,Efficient order,3,,,58241318.0,ns,6588
naive_bdd_comparator,Efficient order,3,,,58415283.0,ns,6696
naive_bdd_comparator,Efficient order,3,,,59906327.0,ns,6804
naive_bdd_comparator,Efficient order,3,,,61165491.0,ns,6912
naive_bdd_comparator,Efficient order,3,,,62865528.0,ns,7020
naive_bdd_comparator,Efficient order,3,,,61401213.0,ns,7128
naive_bdd_comparator,Efficient order,3,,,64485953.0,ns,7236
naive_bdd_comparator,Efficient order,3,,,62984289.0,ns,7344
naive_bdd_comparator,Efficient order,3,,,64381655.0,ns,7452
naive_bdd_comparator,Efficient order,3,,,62781990.0,ns,7560
naive_bdd_comparator,Efficient order,3,,,61954187.0,ns,7668
naive_bdd_comparator,Efficient order,3,,,62179328.0,ns,7776
naive_bdd_comparator,Efficient order,3,,,66059248.0,ns,7884
naive_bdd_comparator,Efficient order,3,,,68664590.0,ns,7992
naive_bdd_comparator,Efficient order,3,,,69496414.0,ns,8100
naive_bdd_comparator,Efficient order,3,,,69213238.0,ns,8208
naive_bdd_comparator,Efficient order,3,,,71912233.0,ns,8316
naive_bdd_comparator,Efficient order,3,,,68792559.0,ns,8424
naive_bdd_comparator,Efficient order,3,,,72912509.0,ns,8532
naive_bdd_comparator,Efficient order,3,,,71880910.0,ns,8640
naive_bdd_comparator,Efficient order,3,,,69867331.0,ns,8748
naive_bdd_comparator,Efficient order,3,,,71705704.0,ns,8856
naive_bdd_comparator,Efficient order,3,,,72815885.0,ns,8964
naive_bdd_comparator,Efficient order,3,,,78606637.0,ns,9072
naive_bdd_comparator,Efficient order,3,,,73707404.0,ns,9180
naive_bdd_comparator,Efficient order,3,,,72178876.0,ns,9288
naive_bdd_comparator,Efficient order,3,,,75987239.0,ns,9396
naive_bdd_comparator,Efficient order,3,,,77266922.0,ns,9504
naive_bdd_comparator,Efficient order,3,,,79558486.0,ns,9612
naive_bdd_comparator,Efficient order,3,,,79893006.0,ns,9720
naive_bdd_comparator,Efficient order,3,,,80106164.0,ns,9828
naive_bdd_comparator,Efficient order,3,,,82873868.0,ns,9936
naive_bdd_comparator,Efficient order,3,,,83618125.0,ns,10044
naive_bdd_comparator,Efficient order,3,,,84704140.0,ns,10152
naive_bdd_comparator,Efficient order,3,,,81870416.0,ns,10260
naive_bdd_comparator,Efficient order,3,,,85109713.0,ns,10368
naive_bdd_comparator,Efficient order,3,,,88431997.0,ns,10476
naive_bdd_comparator,Efficient order,3,,,89868773.0,ns,10584
naive_bdd_comparator,Efficient order,3,,,88554263.0,ns,10692
naive_bdd_comparator,Efficient order,3,,,84451062.0,ns,10800
