group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_bdd_comparator,Efficient order,5,,,990629.0,ns,2
naive_bdd_comparator,Efficient order,5,,,1947308.0,ns,4
naive_bdd_comparator,Efficient order,5,,,3636227.0,ns,6
naive_bdd_comparator,Efficient order,5,,,4220920.0,ns,8
naive_bdd_comparator,Efficient order,5,,,4995849.0,ns,10
naive_bdd_comparator,Efficient order,5,,,6931076.0,ns,12
naive_bdd_comparator,Efficient order,5,,,8001796.0,ns,14
naive_bdd_comparator,Efficient order,5,,,9436657.0,ns,16
naive_bdd_comparator,Efficient order,5,,,10289204.0,ns,18
naive_bdd_comparator,Efficient order,5,,,10967488.0,ns,20
naive_bdd_comparator,Efficient order,5,,,10916069.0,ns,22
naive_bdd_comparator,Efficient order,5,,,11945983.0,ns,24
naive_bdd_comparator,Efficient order,5,,,12956776.0,ns,26
naive_bdd_comparator,Efficient order,5,,,13875846.0,ns,28
naive_bdd_comparator,Efficient order,5,,,15067361.0,ns,30
naive_bdd_comparator,Efficient order,5,,,15943961.0,ns,32
naive_bdd_comparator,Efficient order,5,,,16781865.0,ns,34
naive_bdd_comparator,Efficient order,5,,,18658780.0,ns,36
naive_bdd_comparator,Efficient order,5,,,18461462.0,ns,38
naive_bdd_comparator,Efficient order,5,,,21389710.0,ns,40
naive_bdd_comparator,Efficient order,5,,,20587925.0,ns,42
naive_bdd_comparator,Efficient order,5,,,21347791.0,ns,44
naive_bdd_comparator,Efficient order,5,,,22443869.0,ns,46
naive_bdd_comparator,Efficient order,5,,,23551063.0,ns,48
naive_bdd_comparator,Efficient order,5,,,24185361.0,ns,50
naive_bdd_comparator,Efficient order,5,,,24998699.0,ns,52
naive_bdd_comparator,Efficient order,5,,,26090690.0,ns,54
naive_bdd_comparator,Efficient order,5,,,28173410.0,ns,56
naive_bdd_comparator,Efficient order,5,,,28517226.0,ns,58
naive_bdd_comparator,Efficient order,5,,,29606902.0,ns,60
naive_bdd_comparator,Efficient order,5,,,30102195.0,ns,62
naive_bdd_comparator,Efficient order,5,,,32245486.0,ns,64
naive_bdd_comparator,Efficient order,5,,,32155999.0,ns,66
naive_bdd_comparator,Efficient order,5,,,33732707.0,ns,68
naive_bdd_comparator,Efficient order,5,,,34213370.0,ns,70
naive_bdd_comparator,Efficient order,5,,,34842146.0,ns,72
naive_bdd_comparator,Efficient order,5,,,36292501.0,ns,74
naive_bdd_comparator,Efficient order,5,,,38419335.0,ns,76
naive_bdd_comparator,Efficient order,5,,,37892233.0,ns,78
naive_bdd_comparator,Efficient order,5,,,39144715.0,ns,80
naive_bdd_comparator,Efficient order,5,,,39783598.0,ns,82
naive_bdd_comparator,Efficient order,5,,,41614569.0,ns,84
naive_bdd_comparator,Efficient order,5,,,41644280.0,ns,86
naive_bdd_comparator,Efficient order,5,,,44224030.0,ns,88
naive_bdd_comparator,Efficient order,5,,,43927371.0,ns,90
naive_bdd_comparator,Efficient order,5,,,44593721.0,ns,92
naive_bdd_comparator,Efficient order,5,,,46672064.0,ns,94
naive_bdd_comparator,Efficient order,5,,,46226297.0,ns,96
naive_bdd_comparator,Efficient order,5,,,47869382.0,ns,98
naive_bdd_comparator,Efficient order,5,,,51452943.0,ns,100
naive_bdd_comparator,Efficient order,5,,,52402011.0,ns,102
naive_bdd_comparator,Efficient order,5,,,51270232.0,ns,104
naive_bdd_comparator,Efficient order,5,,,51679417.0,ns,106
naive_bdd_comparator,Efficient order,5,,,53313370.0,ns,108
naive_bdd_comparator,Efficient order,5,,,53737111.0,ns,110
naive_bdd_comparator,Efficient order,5,,,55065858.0,ns,112
naive_bdd_comparator,Efficient order,5,,,57050759.0,ns,114
naive_bdd_comparator,Efficient order,5,,,56278608.0,ns,116
naive_bdd_comparator,Efficient order,5,,,58822729.0,ns,118
naive_bdd_comparator,Efficient order,5,,,58201142.0,ns,120
naive_bdd_comparator,Efficient order,5,,,58914642.0,ns,122
naive_bdd_comparator,Efficient order,5,,,61238611.0,ns,124
naive_bdd_comparator,Efficient order,5,,,62713083.0,ns,126
naive_bdd_comparator,Efficient order,5,,,62380706.0,ns,128
naive_bdd_comparator,Efficient order,5,,,65630506.0,ns,130
naive_bdd_comparator,Efficient order,5,,,64308887.0,ns,132
naive_bdd_comparator,Efficient order,5,,,67086435.0,ns,134
naive_bdd_comparator,Efficient order,5,,,66124490.0,ns,136
