group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_eq_degenerate,,3,,,1392892.0,ns,14
naive_eq_degenerate,,3,,,3227316.0,ns,28
naive_eq_degenerate,,3,,,3156410.0,ns,42
naive_eq_degenerate,,3,,,5568406.0,ns,56
naive_eq_degenerate,,3,,,4790759.0,ns,70
naive_eq_degenerate,,3,,,5624849.0,ns,84
naive_eq_degenerate,,3,,,6879336.0,ns,98
naive_eq_degenerate,,3,,,8078261.0,ns,112
naive_eq_degenerate,,3,,,10029924.0,ns,126
naive_eq_degenerate,,3,,,10990424.0,ns,140
naive_eq_degenerate,,3,,,11865466.0,ns,154
naive_eq_degenerate,,3,,,11828637.0,ns,168
naive_eq_degenerate,,3,,,12666461.0,ns,182
naive_eq_degenerate,,3,,,13307941.0,ns,196
naive_eq_degenerate,,3,,,14401147.0,ns,210
naive_eq_degenerate,,3,,,15129797.0,ns,224
naive_eq_degenerate,,3,,,16182437.0,ns,238
naive_eq_degenerate,,3,,,17823027.0,ns,252
naive_eq_degenerate,,3,,,19171092.0,ns,266
naive_eq_degenerate,,3,,,20389454.0,ns,280
naive_eq_degenerate,,3,,,19982899.0,ns,294
naive_eq_degenerate,,3,,,20900655.0,ns,308
naive_eq_degenerate,,3,,,22230397.0,ns,322
naive_eq_degenerate,,3,,,24895705.0,ns,336
naive_eq_degenerate,,3,,,28329283.0,ns,350
naive_eq_degenerate,,3,,,28445977.0,ns,364
naive_eq_degenerate,,3,,,30074535.0,ns,378
naive_eq_degenerate,,3,,,32205007.0,ns,392
naive_eq_degenerate,,3,,,30674292.0,ns,406
naive_eq_degenerate,,3,,,28506610.0,ns,420
naive_eq_degenerate,,3,,,29269514.0,ns,434
naive_eq_degenerate,,3,,,31257518.0,ns,448
naive_eq_degenerate,,3,,,31188426.0,ns,462
naive_eq_degenerate,,3,,,32174524.0,ns,476
naive_eq_degenerate,,3,,,32970206.0,ns,490
naive_eq_degenerate,,3,,,34261014.0,ns,504
naive_eq_degenerate,,3,,,35014249.0,ns,518
naive_eq_degenerate,,3,,,36272967.0,ns,532
naive_eq_degenerate,,3,,,38564572.0,ns,546
naive_eq_degenerate,,3,,,38069308.0,ns,560
naive_eq_degenerate,,3,,,39970869.0,ns,574
naive_eq_degenerate,,3,,,40499103.0,ns,588
naive_eq_degenerate,,3,,,41552598.0,ns,602
naive_eq_degenerate,,3,,,48538387.0,ns,616
naive_eq_degenerate,,3,,,51643415.0,ns,630
naive_eq_degenerate,,3,,,49673165.0,ns,644
naive_eq_degenerate,,3,,,48865501.0,ns,658
naive_eq_degenerate,,3,,,56462054.0,ns,672
naive_eq_degenerate,,3,,,48326194.0,ns,686
naive_eq_degenerate,,3,,,47819942.0,ns,700
naive_eq_degenerate,,3,,,48408603.0,ns,714
naive_eq_degenerate,,3,,,49227762.0,ns,728
naive_eq_degenerate,,3,,,50114936.0,ns,742
naive_eq_degenerate,,3,,,51698420.0,ns,756
naive_eq_degenerate,,3,,,54929528.0,ns,770
naive_eq_degenerate,,3,,,56832628.0,ns,784
naive_eq_degenerate,,3,,,54614577.0,ns,798
naive_eq_degenerate,,3,,,63491657.0,ns,812
naive_eq_degenerate,,3,,,64729835.0,ns,826
naive_eq_degenerate,,3,,,57060452.0,ns,840
naive_eq_degenerate,,3,,,57981340.0,ns,854
naive_eq_degenerate,,3,,,58811737.0,ns,868
naive_eq_degenerate,,3,,,60375813.0,ns,882
naive_eq_degenerate,,3,,,79994947.0,ns,896
naive_eq_degenerate,,3,,,71207086.0,ns,910
naive_eq_degenerate,,3,,,71416972.0,ns,924
naive_eq_degenerate,,3,,,72147692.0,ns,938
naive_eq_degenerate,,3,,,64888023.0,ns,952
naive_eq_degenerate,,3,,,66332521.0,ns,966
naive_eq_degenerate,,3,,,66979107.0,ns,980
naive_eq_degenerate,,3,,,69090074.0,ns,994
naive_eq_degenerate,,3,,,74022197.0,ns,1008
naive_eq_degenerate,,3,,,80939914.0,ns,1022
naive_eq_degenerate,,3,,,75887041.0,ns,1036
naive_eq_degenerate,,3,,,72381804.0,ns,1050
naive_eq_degenerate,,3,,,74716594.0,ns,1064
naive_eq_degenerate,,3,,,73361102.0,ns,1078
naive_eq_degenerate,,3,,,78631187.0,ns,1092
naive_eq_degenerate,,3,,,86445465.0,ns,1106
naive_eq_degenerate,,3,,,79313646.0,ns,1120
naive_eq_degenerate,,3,,,75995354.0,ns,1134
naive_eq_degenerate,,3,,,78195413.0,ns,1148
naive_eq_degenerate,,3,,,80143647.0,ns,1162
naive_eq_degenerate,,3,,,92714495.0,ns,1176
naive_eq_degenerate,,3,,,84251682.0,ns,1190
naive_eq_degenerate,,3,,,81653119.0,ns,1204
naive_eq_degenerate,,3,,,82764156.0,ns,1218
naive_eq_degenerate,,3,,,84691461.0,ns,1232
naive_eq_degenerate,,3,,,88328587.0,ns,1246
naive_eq_degenerate,,3,,,103511686.0,ns,1260
naive_eq_degenerate,,3,,,106230311.0,ns,1274
naive_eq_degenerate,,3,,,101778915.0,ns,1288
naive_eq_degenerate,,3,,,91159140.0,ns,1302
naive_eq_degenerate,,3,,,90578177.0,ns,1316
naive_eq_degenerate,,3,,,93037940.0,ns,1330
naive_eq_degenerate,,3,,,92350142.0,ns,1344
naive_eq_degenerate,,3,,,115614195.0,ns,1358
naive_eq_degenerate,,3,,,113359908.0,ns,1372
naive_eq_degenerate,,3,,,95035880.0,ns,1386
naive_eq_degenerate,,3,,,95303280.0,ns,1400
