group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_eq_degenerate,,6,,,5749239.0,ns,1
naive_eq_degenerate,,6,,,8224135.0,ns,2
naive_eq_degenerate,,6,,,12286652.0,ns,3
naive_eq_degenerate,,6,,,16976028.0,ns,4
naive_eq_degenerate,,6,,,22881971.0,ns,5
naive_eq_degenerate,,6,,,24621608.0,ns,6
naive_eq_degenerate,,6,,,28976202.0,ns,7
naive_eq_degenerate,,6,,,32978386.0,ns,8
naive_eq_degenerate,,6,,,37655735.0,ns,9
naive_eq_degenerate,,6,,,40294731.0,ns,10
naive_eq_degenerate,,6,,,47384049.0,ns,11
naive_eq_degenerate,,6,,,51466686.0,ns,12
naive_eq_degenerate,,6,,,53575322.0,ns,13
naive_eq_degenerate,,6,,,57744939.0,ns,14
naive_eq_degenerate,,6,,,61263489.0,ns,15
naive_eq_degenerate,,6,,,66581220.0,ns,16
naive_eq_degenerate,,6,,,69642868.0,ns,17
naive_eq_degenerate,,6,,,75482533.0,ns,18
naive_eq_degenerate,,6,,,77689090.0,ns,19
naive_eq_degenerate,,6,,,84728858.0,ns,20
naive_eq_degenerate,,6,,,87109575.0,ns,21
naive_eq_degenerate,,6,,,90861568.0,ns,22
naive_eq_degenerate,,6,,,94066500.0,ns,23
naive_eq_degenerate,,6,,,98096470.0,ns,24
naive_eq_degenerate,,6,,,104011732.0,ns,25
naive_eq_degenerate,,6,,,106508738.0,ns,26
naive_eq_degenerate,,6,,,110713246.0,ns,27
naive_eq_degenerate,,6,,,112092000.0,ns,28
naive_eq_degenerate,,6,,,118678931.0,ns,29
naive_eq_degenerate,,6,,,120837922.0,ns,30
naive_eq_degenerate,,6,,,126241298.0,ns,31
naive_eq_degenerate,,6,,,127539908.0,ns,32
naive_eq_degenerate,,6,,,133027283.0,ns,33
naive_eq_degenerate,,6,,,138530504.0,ns,34
naive_eq_degenerate,,6,,,140950852.0,ns,35
naive_eq_degenerate,,6,,,145109208.0,ns,36
naive_eq_degenerate,,6,,,148001071.0,ns,37
naive_eq_degenerate,,6,,,158658028.0,ns,38
naive_eq_degenerate,,6,,,158186671.0,ns,39
naive_eq_degenerate,,6,,,160209958.0,ns,40
naive_eq_degenerate,,6,,,166134622.0,ns,41
naive_eq_degenerate,,6,,,172830485.0,ns,42
naive_eq_degenerate,,6,,,171460614.0,ns,43
naive_eq_degenerate,,6,,,179150807.0,ns,44
naive_eq_degenerate,,6,,,180939360.0,ns,45
naive_eq_degenerate,,6,,,184334995.0,ns,46
naive_eq_degenerate,,6,,,190868513.0,ns,47
naive_eq_degenerate,,6,,,192120124.0,ns,48
naive_eq_degenerate,,6,,,197556647.0,ns,49
naive_eq_degenerate,,6,,,204040545.0,ns,50
naive_eq_degenerate,,6,,,206004499.0,ns,51
naive_eq_degenerate,,6,,,209337131.0,ns,52
naive_eq_degenerate,,6,,,213206648.0,ns,53
naive_eq_degenerate,,6,,,221799266.0,ns,54
naive_eq_degenerate,,6,,,225686511.0,ns,55
naive_eq_degenerate,,6,,,226111056.0,ns,56
naive_eq_degenerate,,6,,,230140839.0,ns,57
naive_eq_degenerate,,6,,,235359143.0,ns,58
naive_eq_degenerate,,6,,,237381096.0,ns,59
naive_eq_degenerate,,6,,,242167740.0,ns,60
naive_eq_degenerate,,6,,,245238149.0,ns,61
naive_eq_degenerate,,6,,,252748827.0,ns,62
naive_eq_degenerate,,6,,,257492464.0,ns,63
naive_eq_degenerate,,6,,,259840709.0,ns,64
naive_eq_degenerate,,6,,,262918536.0,ns,65
naive_eq_degenerate,,6,,,265465565.0,ns,66
naive_eq_degenerate,,6,,,268284756.0,ns,67
naive_eq_degenerate,,6,,,275203442.0,ns,68
naive_eq_degenerate,,6,,,277433898.0,ns,69
naive_eq_degenerate,,6,,,282510081.0,ns,70
naive_eq_degenerate,,6,,,285460643.0,ns,71
naive_eq_degenerate,,6,,,290477149.0,ns,72
naive_eq_degenerate,,6,,,294188764.0,ns,73
naive_eq_degenerate,,6,,,296718316.0,ns,74
naive_eq_degenerate,,6,,,313254176.0,ns,75
naive_eq_degenerate,,6,,,315104618.0,ns,76
naive_eq_degenerate,,6,,,318930127.0,ns,77
naive_eq_degenerate,,6,,,313772532.0,ns,78
naive_eq_degenerate,,6,,,341921248.0,ns,79
naive_eq_degenerate,,6,,,324388516.0,ns,80
naive_eq_degenerate,,6,,,327574593.0,ns,81
naive_eq_degenerate,,6,,,332443172.0,ns,82
naive_eq_degenerate,,6,,,333292478.0,ns,83
naive_eq_degenerate,,6,,,340167954.0,ns,84
naive_eq_degenerate,,6,,,347527458.0,ns,85
naive_eq_degenerate,,6,,,364275188.0,ns,86
naive_eq_degenerate,,6,,,354990179.0,ns,87
naive_eq_degenerate,,6,,,362890535.0,ns,88
naive_eq_degenerate,,6,,,357724139.0,ns,89
naive_eq_degenerate,,6,,,363126349.0,ns,90
naive_eq_degenerate,,6,,,367158933.0,ns,91
naive_eq_degenerate,,6,,,372429862.0,ns,92
naive_eq_degenerate,,6,,,374655083.0,ns,93
naive_eq_degenerate,,6,,,379252029.0,ns,94
naive_eq_degenerate,,6,,,384735193.0,ns,95
naive_eq_degenerate,,6,,,386085228.0,ns,96
naive_eq_degenerate,,6,,,393142063.0,ns,97
naive_eq_degenerate,,6,,,401916673.0,ns,98
naive_eq_degenerate,,6,,,398689603.0,ns,99
naive_eq_degenerate,,6,,,402011260.0,ns,100
