group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport,Naive,6,,,18265254.0,ns,54
naive_vs_support_vs_simplifiedsupport,Naive,6,,,40312507.0,ns,108
naive_vs_support_vs_simplifiedsupport,Naive,6,,,49832949.0,ns,162
naive_vs_support_vs_simplifiedsupport,Naive,6,,,65312620.0,ns,216
naive_vs_support_vs_simplifiedsupport,Naive,6,,,82314389.0,ns,270
naive_vs_support_vs_simplifiedsupport,Naive,6,,,97746597.0,ns,324
naive_vs_support_vs_simplifiedsupport,Naive,6,,,116287136.0,ns,378
naive_vs_support_vs_simplifiedsupport,Naive,6,,,141849086.0,ns,432
naive_vs_support_vs_simplifiedsupport,Naive,6,,,149762865.0,ns,486
naive_vs_support_vs_simplifiedsupport,Naive,6,,,187271307.0,ns,540
