group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport,Support Simplified,10,,,83613258.0,ns,1
naive_vs_support_vs_simplifiedsupport,Support Simplified,10,,,184134061.0,ns,2
naive_vs_support_vs_simplifiedsupport,Support Simplified,10,,,234513595.0,ns,3
naive_vs_support_vs_simplifiedsupport,Support Simplified,10,,,287141566.0,ns,4
naive_vs_support_vs_simplifiedsupport,Support Simplified,10,,,332868174.0,ns,5
naive_vs_support_vs_simplifiedsupport,Support Simplified,10,,,395613592.0,ns,6
naive_vs_support_vs_simplifiedsupport,Support Simplified,10,,,461171138.0,ns,7
naive_vs_support_vs_simplifiedsupport,Support Simplified,10,,,530159355.0,ns,8
naive_vs_support_vs_simplifiedsupport,Support Simplified,10,,,605163093.0,ns,9
naive_vs_support_vs_simplifiedsupport,Support Simplified,10,,,661791637.0,ns,10
