group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport,Support Simplified,6,,,16098761.0,ns,15
naive_vs_support_vs_simplifiedsupport,Support Simplified,6,,,32763917.0,ns,30
naive_vs_support_vs_simplifiedsupport,Support Simplified,6,,,51553287.0,ns,45
naive_vs_support_vs_simplifiedsupport,Support Simplified,6,,,66815145.0,ns,60
naive_vs_support_vs_simplifiedsupport,Support Simplified,6,,,97934448.0,ns,75
naive_vs_support_vs_simplifiedsupport,Support Simplified,6,,,116868105.0,ns,90
naive_vs_support_vs_simplifiedsupport,Support Simplified,6,,,143398713.0,ns,105
naive_vs_support_vs_simplifiedsupport,Support Simplified,6,,,169461369.0,ns,120
naive_vs_support_vs_simplifiedsupport,Support Simplified,6,,,172374534.0,ns,135
naive_vs_support_vs_simplifiedsupport,Support Simplified,6,,,195691651.0,ns,150
