group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport_degenerate,Cofactors (Degenerate order),8,,,21476011.0,ns,4
naive_vs_support_vs_simplifiedsupport_degenerate,Cofactors (Degenerate order),8,,,39398935.0,ns,8
naive_vs_support_vs_simplifiedsupport_degenerate,Cofactors (Degenerate order),8,,,53620217.0,ns,12
naive_vs_support_vs_simplifiedsupport_degenerate,Cofactors (Degenerate order),8,,,70231006.0,ns,16
naive_vs_support_vs_simplifiedsupport_degenerate,Cofactors (Degenerate order),8,,,83815894.0,ns,20
naive_vs_support_vs_simplifiedsupport_degenerate,Cofactors (Degenerate order),8,,,100021301.0,ns,24
naive_vs_support_vs_simplifiedsupport_degenerate,Cofactors (Degenerate order),8,,,116249903.0,ns,28
naive_vs_support_vs_simplifiedsupport_degenerate,Cofactors (Degenerate order),8,,,135228497.0,ns,32
naive_vs_support_vs_simplifiedsupport_degenerate,Cofactors (Degenerate order),8,,,152892489.0,ns,36
naive_vs_support_vs_simplifiedsupport_degenerate,Cofactors (Degenerate order),8,,,164158516.0,ns,40
