group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport_degenerate,Support (Degenerate order),12,,,491901667.0,ns,1
naive_vs_support_vs_simplifiedsupport_degenerate,Support (Degenerate order),12,,,1095219583.0,ns,2
naive_vs_support_vs_simplifiedsupport_degenerate,Support (Degenerate order),12,,,1496382136.0,ns,3
naive_vs_support_vs_simplifiedsupport_degenerate,Support (Degenerate order),12,,,2058960494.0,ns,4
naive_vs_support_vs_simplifiedsupport_degenerate,Support (Degenerate order),12,,,2472578754.0,ns,5
naive_vs_support_vs_simplifiedsupport_degenerate,Support (Degenerate order),12,,,2974683038.0,ns,6
naive_vs_support_vs_simplifiedsupport_degenerate,Support (Degenerate order),12,,,3355085746.0,ns,7
naive_vs_support_vs_simplifiedsupport_degenerate,Support (Degenerate order),12,,,3908727821.0,ns,8
naive_vs_support_vs_simplifiedsupport_degenerate,Support (Degenerate order),12,,,4438743909.0,ns,9
naive_vs_support_vs_simplifiedsupport_degenerate,Support (Degenerate order),12,,,4928048343.0,ns,10
