group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),10,,,81250682.0,ns,1
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),10,,,159285905.0,ns,2
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),10,,,207884974.0,ns,3
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),10,,,301945804.0,ns,4
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),10,,,350819127.0,ns,5
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),10,,,498481979.0,ns,6
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),10,,,475739613.0,ns,7
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),10,,,558905825.0,ns,8
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),10,,,611754811.0,ns,9
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),10,,,711252963.0,ns,10
