group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),12,,,445103970.0,ns,1
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),12,,,1062453799.0,ns,2
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),12,,,1399820039.0,ns,3
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),12,,,1820258295.0,ns,4
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),12,,,2246362539.0,ns,5
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),12,,,2794603065.0,ns,6
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),12,,,3159512866.0,ns,7
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),12,,,3604188355.0,ns,8
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),12,,,4482204829.0,ns,9
naive_vs_support_vs_simplifiedsupport_degenerate,Support Simplified (Degenerate order),12,,,4522287114.0,ns,10
