group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),12,,,1247623994.0,ns,1
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),12,,,2414967297.0,ns,2
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),12,,,3537791618.0,ns,3
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),12,,,4668733799.0,ns,4
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),12,,,5358169320.0,ns,5
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),12,,,6393525398.0,ns,6
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),12,,,7685622314.0,ns,7
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),12,,,9320125043.0,ns,8
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),12,,,10080551957.0,ns,9
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),12,,,10597745974.0,ns,10
