group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),4,,,18782426.0,ns,774
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),4,,,39565546.0,ns,1548
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),4,,,47831376.0,ns,2322
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),4,,,61438906.0,ns,3096
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),4,,,78178077.0,ns,3870
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),4,,,91326237.0,ns,4644
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),4,,,110558506.0,ns,5418
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),4,,,124806752.0,ns,6192
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),4,,,143305472.0,ns,6966
naive_vs_support_vs_simplifiedsupport_ideal,Cofactors (Ideal order),4,,,156697051.0,ns,7740
